Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
SiJA72ADP,,Single,PowerPAK SO-8L,N,40,20,,,,,,0.00478,,,0.00342,14.8,33,8.2,2.3,96,56.8,1,1.3,image/mosfets/77338.png
SiJA74DP,Enlarge,Single,PowerPAK SO-8L,N,40,20,,,,,,0.006,,,0.00399,12.4,27,6.3,2.1,81.2,46.2,1,1.45,image/mosfets/75888.png
SiJH112E,Enlarge,Single,PowerPAK 8 x 8L,N,100,20,,,,,,,,0.0036,0.0028,,106,36,23,225,333,2,1.3,image/mosfets/62079.png
SiJH400E,Enlarge,Single,PowerPAK 8 x 8L,N,40,20,,,,,,0.00074,,,0.00052,99,220,50,12,608,385,1.1,1.1,image/mosfets/79726.png
SiJH402E,Enlarge,Single,PowerPAK&#174; 8 x 8L,N,40,20,,,,,,0.00094,,,0.00065,75,166,39,18,450,263,1.1,1.1,image/mosfets/76259.png
SiJH440E,Enlarge,Single,PowerPAK 8 x 8L,N,40,20,,,,,,0.00115,,,0.00096,127,279,64,24.5,200,158,1,1.7,image/mosfets/79285.png
SiJH5100E,Enlarge,Single,PowerPAK 8 x 8L,N,100,20,,,,,,,,0.00214,0.00189,,85,31,5.3,277,333,2,1.6,image/mosfets/79286.png
SiJH5700E,Enlarge,Single,PowerPAK 8 x 8L,N,150,20,,,,,,,,0.0044,0.0041,,93,36,8,174,333,2,1.8,image/mosfets/75772.png
SiJH5800E,Enlarge,Single,PowerPAK 8 x 8L,N,80,20,,,,,,,,0.00158,0.00135,,103,35,11,302,333,2,1.7,image/mosfets/62062.png
SiJH600E,Enlarge,Single,PowerPAK 8 x 8L,N,60,20,,,,,,,,0.00115,0.00092,,141,42,20,373,333,2,1.2,image/mosfets/63569.png
SiJH800E,Enlarge,Single,PowerPAK 8 x 8L,N,80,20,,,,,,,,0.0018,0.00155,,140,46,22,299,333,2,1.1,image/mosfets/68805.png
SiJK140E,Enlarge,Single,PowerPAK&#174; 10 x 12,N,40,20,,,,,,,,,0.00047,,312,84,70,795,536,2.4,1.1,image/mosfets/65942.png
SiR104ADP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0072,0.0061,,46.1,15.4,7.1,81,100,2,0.9,image/mosfets/68944.png
SiR104DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0074,0.0064,,56,17.5,7,79,100,2,0.9,image/mosfets/69006.png
SiR104LDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.0077,,,0.0061,33,73,13.8,6.5,81,100,1,0.9,image/mosfets/63684.png
SiR106ADP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.009,0.008,,34.5,12,5.3,65.8,83.3,2,0.8,image/mosfets/62856.png
SiR108DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.016,0.0135,,27.5,6.7,3.9,45,65.7,2,0.9,image/mosfets/62964.png
SiR112DP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.00265,,,0.00196,28.7,59,10.2,7.6,133,62.5,1.1,1,image/mosfets/64826.png
SiR120DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0045,0.00355,,62.5,17.4,10.5,106,100,2,0.9,image/mosfets/62933.png
SiR122DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.009,0.0074,,29,10,4.8,59.6,65.7,2,0.81,image/mosfets/62014.png
SiR122LDP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,0.009,,,0.00735,15.7,34.6,8.2,3.3,62.3,65.7,1,0.87,image/mosfets/62216.png
SiR124DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0103,0.0084,,26,7.4,4.5,56.8,62.5,2,0.81,image/mosfets/75537.png
SiR1309DP,Enlarge,Single,PowerPAK SO-8,P,-30,25,,,,,,0.013,,,0.0073,28,58,10.7,9.9,-65.7,56.8,-1,2.2,image/mosfets/67307.png
SiR140DP,Enlarge,Single,PowerPAK SO-8,N,25,20,,,,,,0.0009,,,0.00067,52.8,113,17.6,10.7,100,104,1,0.38,image/mosfets/63583.png
SiR150DP,,Single,PowerPAK SO-8,N,45,20,,,,,,0.00397,,,0.00271,21.4,46.7,11.1,3.6,110,65.7,1.1,1.15,image/mosfets/62070.png
SiR158DP,,Single,PowerPAK SO-8,N,30,20,,,,,,0.0023,,,0.0018,41.5,87,10.6,13.8,60,83,1.2,0.7,image/mosfets/63046.png
SiR164ADP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0032,,,0.0022,22.5,51,8.6,4,40,62.5,1.1,1.25,image/mosfets/63046.png
SiR165DP,Enlarge,Single,PowerPAK SO-8,P,-30,20,,,,,,0.0075,,,0.0046,44,92,12,14,-60,65.8,-1,1.6,image/mosfets/76792.png
SiR166DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.004,,,0.0032,25,51,6.5,8.5,40,48,1.2,1.5,image/mosfets/67954.png
SiR167DP,Enlarge,Single,PowerPAK SO-8,P,-30,25,,,,,,0.0093,,,0.0055,36,74,12.1,12.3,-60,65.8,-1,1.6,image/mosfets/62965.png
SiR170DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.00585,,,0.0048,42,93,17,8.7,95,104,1,0.9,image/mosfets/76785.png
SiR178DP,Enlarge,Single,PowerPAK SO-8,N,20,-8,,,,0.0012,,0.0005,,,0.0004,95,207,26.6,18.219,430,104,0.6,0.94,image/mosfets/78019.png
SiR180ADP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.0028,0.0022,,46.2,15.8,7.1,137,83.3,2,0.9,image/mosfets/62716.png
SiR180DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.0025,0.00205,,58,15.4,7.7,60,83.3,2,0.9,image/mosfets/75603.png
SiR182DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.0038,0.0028,,42.2,12.2,6.7,117,69.4,2,0.76,image/mosfets/74547.png
SiR182LDP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,0.00385,,,0.00275,26,56,11.5,6.4,130,83,1,0.8,image/mosfets/62242.png
SiR184DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.007,0.0058,,21,5.1,3.5,73,62.5,2,0.75,image/mosfets/62108.png
SiR184LDP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,0.0083,,,0.0054,12.3,27,6,2.65,73,56.8,1,0.75,image/mosfets/76198.png
SiR186DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,0.0078,0.0054,0.0045,,24.5,6.5,4.5,60,57,2,0.85,image/mosfets/63709.png
SiR186LDP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,0.0063,,,0.0044,15.2,31.5,6.2,4.5,80.3,57,1,0.85,image/mosfets/63176.png
SiR188DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.0049,0.00385,,29,6.8,5,60,65.7,2,0.9,image/mosfets/63234.png
SiR188LDP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,0.0052,,,0.00375,16,34.6,7.3,3.7,93.6,65.7,1,0.85,image/mosfets/63179.png
SiR402DP,,Single,PowerPAK SO-8,N,30,20,,,,,,0.008,,,0.006,12,28,5.4,4.6,35,36,1,1.2,image/mosfets/63185.png
SiR403EDP,Enlarge,Single,PowerPAK SO-8,P,-30,25,,,,,,0.0115,0.0082,,0.0065,,102,16,28,-40,56.8,-1.2,1.3,image/mosfets/63252.png
SiR404DP,Enlarge,Single,PowerPAK SO-8,N,20,12,,,,0.00225,,0.00175,,,0.0016,64.5,,11.4,12.1,60,104,0.6,1,image/mosfets/62900.png
SiR410DP,Enlarge,Single,PowerPAK SO-8,N,20,20,,,,,,0.0063,,,0.0048,16.7,27,4.5,3.5,35,36,1.2,1.3,image/mosfets/62003.png
SiR414DP,Enlarge,Single,PowerPAK SO-8,N,40,20,,,,,,0.0032,,,0.0028,38,78,13,11,50,83,1,0.7,image/mosfets/75465.png
SiR4156LDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.033,,,0.0295,8.8,19.5,4.5,1.8,25.7,43,1,0.9,image/mosfets/67904.png
SiR416DP,Enlarge,Single,PowerPAK SO-8,N,40,20,,,,,,0.0042,,,0.0038,28.2,59,7.7,9,50,69,1.2,1.1,image/mosfets/75831.png
SiR424DP,,Single,PowerPAK SO-8,N,20,20,,,,,,0.0074,,,0.0055,9.6,22,3.5,2.9,30,41.7,1,1,image/mosfets/76681.png
SiR426DP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.0125,,,0.0105,9.3,20.5,3.1,2.5,30,41.7,1.2,0.8,image/mosfets/62898.png
SiR4406DP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.0067,,,0.00475,10.9,23.7,5.3,1.9,78,41.6,1.1,2.8,image/mosfets/76567.png
SiR4409DP,Enlarge,Single,PowerPAK SO-8,P,-40,20,,,,,,0.012,,,0.009,38.1,84,14,12.2,-60.6,59.5,-1,2.2,image/mosfets/76062.png
SiR440DP,Enlarge,Single,PowerPAK SO-8,N,20,20,,,,,,0.002,,,0.00155,43.5,100,13.5,12.5,60,104,1,1,image/mosfets/75285.png
SiR4411DP,,Single,PowerPAK SO-8,P,-40,20,,,,,,0.015,,,0.011,36.5,79,11.5,12.3,-48.3,56.8,-1,1.9,image/mosfets/62944.png
SiR450DP,,Single,PowerPAK SO-8,N,45,20,,,,,,0.00255,,,0.0018,34,75.5,17,4.5,113,48,1,1.2,image/mosfets/62220.png
SiR4602LDP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,0.0125,,,0.0088,9,19.1,4.4,2.6,52.1,43,1,0.9,image/mosfets/75573.png
SiR4604DP,,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.0124,0.0095,,14.5,4.85,2.6,49.3,41.6,2,0.8,image/mosfets/76933.png
SiR4604LDP,,Single,PowerPAK SO-8,N,60,20,,,,,,0.0124,,,0.0089,8.5,18.3,4,2.3,51,41.6,1,0.8,image/mosfets/77230.png
SiR4606DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.0225,0.0185,,8.9,2.5,1.8,16,31.2,2,1.3,image/mosfets/77407.png
SiR4608DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,,0.015,0.0118,,11.7,4.2,1.9,42.8,39,2,1.5,image/mosfets/76915.png
SiR4608LDP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,0.0153,,,0.0115,7,15,3.1,1.95,43.4,39,1,1.5,image/mosfets/77305.png
SiR462DP,,Single,PowerPAK SO-8,N,30,20,,,,,,0.01,,,0.0079,8.8,20,3.5,2.2,30,41.7,1,1,image/mosfets/62122.png
SiR466DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0051,,,0.0035,21.5,42.5,6.9,7.1,40,54,1.2,0.8,image/mosfets/79358.png
SiR500DP,Enlarge,Single,PowerPAK SO-8,N,30,16,,,,,,0.00068,,,0.00047,54.3,120,25.6,8.7,350.8,104.1,1,0.9,image/mosfets/79330.png
SiR5108DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0124,0.0105,,14.8,6.3,1.3,55.9,65.7,2,1,image/mosfets/79230.png
SiR510DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0042,0.0036,,54,23.3,3,126,104,2,1.15,image/mosfets/79345.png
SiR5110DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.016,0.0125,,12.8,4.9,1.4,47.6,59.5,2,1,image/mosfets/75172.png
SiR5112DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0185,0.0149,,10.6,4.5,0.92,42.6,56.8,2,1,image/mosfets/75897.png
SiR512DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0051,0.0045,,41,17.9,2.3,100,96.2,2,1.05,image/mosfets/75341.png
SiR514DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.007,0.0058,,31,12.4,1.7,84.8,83.3,2,1.05,image/mosfets/79280.png
SiR516DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.009,0.008,,23.6,10.1,1.6,63.7,71.4,2,0.95,image/mosfets/75656.png
SiR5211DP,Enlarge,Single,PowerPAK SO-8,P,-20,12,,,,0.0062,,0.004,,,0.0032,48,105,11,11,-105,56.8,-0.5,2.5,image/mosfets/66834.png
SiR5607DP,Enlarge,Single,PowerPAK SO-8,P,-60,20,,,,,,0.012,,,0.007,34.8,74,18,10.1,-90.9,104,-1.4,1.4,image/mosfets/79563.png
SiR5623DP,Enlarge,Single,PowerPAK SO-8,P,-60,20,,,,,,0.046,,,0.024,10.1,21.8,6.4,2.7,-37.1,59.5,-1.4,1,image/mosfets/75900.png
SiR5708DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.027,0.023,,12.8,6,1.4,33.8,65.7,2,1.25,image/mosfets/79568.png
SiR570DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.0085,0.0079,,46.9,18.1,4.2,77.4,104,2,1.1,image/mosfets/79993.png
SiR5710DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.037,0.0315,,10,5,1.15,26.8,56.8,2,1.4,image/mosfets/76879.png
SiR5712DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.0624,0.0555,,7.5,3.4,1.2,18,40,2,0.9,image/mosfets/62083.png
SiR572DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.0115,0.0108,,35.9,12.7,3.8,59.7,92.5,2,1.05,image/mosfets/76822.png
SiR574DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.0143,0.0135,,31.5,11.6,3.7,48.1,78,2,1,image/mosfets/75685.png
SiR576DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.017,0.016,,25.2,9.1,2.8,42.2,71.4,2,1,image/mosfets/75708.png
SiR578DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.01,0.0088,,32.5,15.3,3.1,70.2,104,2,1.35,image/mosfets/62084.png
SiR5808DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.011,0.00735,,15.6,6.7,1.5,66.8,65.7,2,1,image/mosfets/75444.png
SiR580DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0032,0.0027,,50.6,22,3.9,146,104,2,1.1,image/mosfets/76291.png
SiR5810DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0157,0.01,,12.2,5.8,1.5,53.3,56.8,2,1.2,image/mosfets/77029.png
SiR5812DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.02,0.0135,,10,5,1,45.3,50,2,1.05,image/mosfets/76795.png
SiR582DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0039,0.0034,,44.5,16.3,4.5,116,92.5,2,1.1,image/mosfets/76780.png
SiR584DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0047,0.0039,,36.7,12.1,3.6,100,83.3,2,1.1,image/mosfets/62408.png
SiR586DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0068,0.0058,,25.3,9,2.7,78.4,71.4,2,1,image/mosfets/62405.png
SiR588DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0093,0.008,,18.7,6.6,2.1,59.5,59.5,2,1,image/mosfets/77889.png
SiR606BDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0205,0.0174,,20,6.45,3.5,38.7,62.5,2,0.76,image/mosfets/71592.png
SiR606DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,0.02,0.0175,0.0162,,24.3,5.6,4.9,37,44.5,2.4,1.2,image/mosfets/75501.png
SiR608DP,,Single,PowerPAK SO-8,N,45,20,,,,,,0.0018,,,0.0012,50.5,111,26,7.8,208,104,1.1,0.88,image/mosfets/76797.png
SiR610DP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,,0.0334,0.0319,,25,6.4,6.8,35.4,104,2,2.1,image/mosfets/75459.png
SiR616DP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,,0.0535,0.0505,,23.7,6.3,6,20.2,52,2,1,image/mosfets/62847.png
SiR618DP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,,0.099,0.095,,14.2,3.8,3.4,14.2,48,2,1.1,image/mosfets/76552.png
SiR622DP,Enlarge,Single,PowerPAK&#174; SO-8,N,150,20,,,,,,,,0.0204,0.0177,,27,9.2,8.2,51.6,104,2.5,1.8,image/mosfets/77571.png
SiR624DP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,,0.064,0.06,,19.5,5.3,5.2,18.6,52,2,1.6,image/mosfets/77675.png
SiR626ADP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,0.0034,0.0024,0.00175,,55,16.7,9.2,165,104,2,0.9,image/mosfets/79691.png
SiR626DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,0.0026,0.002,0.0017,,68,21,8.2,100,104,2,0.91,image/mosfets/77851.png
SiR626LDP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,0.0021,,,0.0015,41,89,17.4,10.8,186,104,1,0.88,image/mosfets/77833.png
SiR632DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,,0.041,0.0345,,14,3.7,3.9,29,69.5,2,1.2,image/mosfets/77179.png
SiR638ADP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.00116,,,0.00088,53,110,22.5,9.5,100,104,1.1,0.88,image/mosfets/62881.png
SiR640ADP,Enlarge,Single,PowerPAK SO-8,N,40,20,,,,,,0.0025,,,0.002,28.5,60,9.6,5.1,100,104,0.9,1.2,image/mosfets/76227.png
SiR668ADP,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/77425.png
SiR680ADP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0035,0.00288,,55,17,10,125,104,2,0.88,image/mosfets/62250.png
SiR680LDP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,0.00355,,,0.0028,40.5,90,20,8.8,130,104,1,0.95,image/mosfets/62241.png
SiR681DP,Enlarge,Single,PowerPAK SO-8,P,-80,20,,,,,,0.0167,,,0.0112,31.7,69.4,16.6,6.9,-71.9,104,-1.4,1.3,image/mosfets/77881.png
SiR690DP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,,0.039,0.035,,31.9,9.5,7.7,34.4,104,2,1.2,image/mosfets/79977.png
SiR692DP,Enlarge,Single,PowerPAK SO-8,N,250,20,,,,,,,,0.067,0.063,,25.3,7.9,7.4,24.2,104,2,2,image/mosfets/63005.png
SiR696DP,,Single,PowerPAK SO-8,N,125,20,,,,,,,,0.0135,0.0115,,24.8,7.8,7.6,60,104,2.5,1.9,image/mosfets/62197.png
SiR800ADP,Enlarge,Single,PowerPAK SO-8,N,20,12,,,,0.0046,,0.00175,,,0.00135,18.2,35.2,7.3,3.6,177,62.5,0.6,0.85,image/mosfets/77036.png
SiR800DP,Enlarge,Single,PowerPAK SO-8,N,20,12,,,,0.0034,,0.0026,,,0.0023,41,89,7.4,7.6,50,69,0.6,1.2,image/mosfets/75322.png
SiR804DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.0103,,0.0078,0.0072,24.8,50.8,8.1,10.6,60,104,1.2,2,image/mosfets/71591.png
SiR820DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.006,,,0.0046,21.5,50,5.7,7.3,40,27.5,1.2,0.65,image/mosfets/67294.png
SiR826BDP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.0062,0.0051,,46,13.8,8.3,80.8,83,2,0.75,image/mosfets/76297.png
SiR826LDP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,0.0062,,,0.005,28.6,60.5,12.2,7.8,86,83,1,0.8,image/mosfets/77026.png
SiR836DP,Enlarge,Single,PowerPAK SO-8,N,40,20,,,,,,0.0225,,,0.019,5.8,11.8,1.6,2.1,21,15.6,1.2,2.4,image/mosfets/76360.png
SiR846BDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.009,0.008,,34.5,12,5.3,65.8,83.3,2,0.8,image/mosfets/76612.png
SiR862DP,Enlarge,Single,PowerPAK SO-8,N,25,20,,,,,,0.0035,,,0.0028,28.4,60,9.3,7,50,69,1.2,1.1,image/mosfets/76642.png
SiR870BDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.0077,,,0.0061,33,73,13.8,6.5,81,100,1,0.9,image/mosfets/76969.png
SiR871DP,Enlarge,Single,PowerPAK SO-8,P,-100,20,,,,,,0.028,,,0.02,26.5,58,12.9,10.2,-48,89,-1.4,3,image/mosfets/77631.png
SiR873DP,Enlarge,Single,PowerPAK SO-8,P,-150,20,,,,,,,,,0.0475,,31.8,9.2,9.5,-37,104,-2,3.4,image/mosfets/77556.png
SiR876ADP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.0145,,0.0114,0.0108,16.3,32.8,5,7.4,40,62.5,1.5,0.8,image/mosfets/77684.png
SiR876BDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.0123,,,0.0108,19,42.7,9.5,3.1,51.4,71.4,1,0.8,image/mosfets/75317.png
SiR878BDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.017,0.0144,,24.8,7.4,3.8,42.5,62.5,2,0.85,image/mosfets/77350.png
SiR880BDP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,0.008,,,0.0065,19.5,43.5,9.4,4,70.6,71.4,1,0.8,image/mosfets/66781.png
SiR882BDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.0095,,,0.0083,24.6,54,11.5,4.7,67.5,83.3,1,0.8,image/mosfets/77595.png
SiR892DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62968.png
SiRA00DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.00135,,,0.001,66,147,26,8.6,100,104,1.1,1.35,image/mosfets/70731.png
SiRA01DP,Enlarge,Single,PowerPAK SO-8,P,-30,16,,,,,,0.0082,,,0.0049,27,56,9.4,8.2,-60,62.5,-1,3.5,image/mosfets/75906.png
SiRA02DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0027,,,0.002,35,76,13,6.4,50,71.4,1.1,1.05,image/mosfets/70300.png
SiRA06DDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0035,,,0.0022,14.4,31,6.8,3.4,125,59,1.1,0.9,image/mosfets/75033.png
SiRA06DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0035,,,0.0025,22.5,51,8.6,4,40,62.5,1.1,1.25,image/mosfets/75033.png
SiRA10BDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.005,,,0.0036,11.7,24.1,4.2,2.8,60,43,1.2,1.3,image/mosfets/77182.png
SiRA10DDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.005,,,0.0031,11.7,24.1,5.5,2.2,96,43,1.2,1.3,image/mosfets/77182.png
SiRA10DP,,Single,PowerPAK SO-8,N,30,20,,,,,,0.005,,,0.0037,15.4,34,5.8,2.6,60,40,1.1,1.7,image/mosfets/77227.png
SiRA12BDP,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/77227.png
SiRA12DDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0057,,,0.0036,9.2,22,4.5,2.2,81,38,1.2,1.4,image/mosfets/79592.png
SiRA12DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.006,,,0.0043,13.6,29.5,5.2,2.6,60,31,1.1,1.7,image/mosfets/79592.png
SiRA14BDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.00702,,,0.00538,6.6,14,2.93,1.61,64,36,1.1,2.8,image/mosfets/79711.png
SiRA14DDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.00702,,,0.00538,6.6,14,3,1.42,64,36,1.1,2.1,image/mosfets/79711.png
SiRA16DP,,Single,PowerPAK SO-8,N,30,20,,,,,,0.0097,,,0.0068,13.2,31,5.7,2.2,16,29.7,1,1,image/mosfets/77236.png
SiRA18BDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0105,,,0.00683,6.2,12.2,2.3,2.3,40,17,1.2,1.5,image/mosfets/77236.png
SiRA18DDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0105,,,0.00683,6.2,12.2,2.6,2.3,40,17,1.2,1,image/mosfets/77670.png
SiRA20BDP,Enlarge,Single,PowerPAK SO-8,N,25,16,,,,,,0.00082,,,0.00058,54,124,30,6.2,335,104,1,0.9,image/mosfets/77670.png
SiRA20DP,Enlarge,Single,PowerPAK SO-8,N,25,16,,,,,,0.00082,,,0.00058,61,134,24,9.2,100,104,1,0.38,image/mosfets/68279.png
SiRA22DP,Enlarge,Single,PowerPAK SO-8,N,25,16,,,,,,0.00117,,,0.00076,45.5,102,17,8.3,60,83.3,1,0.5,image/mosfets/68279.png
SiRA24DP,Enlarge,Single,PowerPAK SO-8,N,25,20,,,,,,0.0024,,,0.0014,17.2,36.5,7.4,3.3,60,62.5,1,0.75,image/mosfets/79370.png
SiRA26DP,Enlarge,Single,PowerPAK SO-8,N,25,16,,,,,,0.0039,,,0.00265,13.2,29,5.4,2.2,60,43.1,1,0.8,image/mosfets/76059.png
SiRA28BDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.012,,,0.0075,4.5,9.3,2.2,1.2,38,17,1.2,7,image/mosfets/76059.png
SiRA32DP,Enlarge,Single,PowerPAK SO-8,N,25,16,,,,,,0.00183,,,0.0012,24.3,55,9.7,3.5,185,65.7,1,0.75,image/mosfets/77356.png
SiRA50ADP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.0016,,,0.00104,45,98,23,7,219,100,1,0.7,image/mosfets/77356.png
SiRA52ADP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.0023,,,0.00163,32,66,15,4.5,131,48,1.1,1.1,image/mosfets/78132.png
SiRA54ADP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.0032,,,0.0022,21.5,46.7,9.3,4,128,65.7,1,1.1,image/mosfets/78132.png
SiRA54DP,Enlarge,Single,PowerPAK SO-8,N,40,20,,,,,,0.0032,,,0.00235,32,69,13.5,6.9,60,36.7,1.1,1.1,image/mosfets/61551.png
SiRA58ADP,,Single,PowerPAK SO-8,N,40,20,,,,,,0.00395,,,0.00265,18.5,40.5,9.3,2.8,109,56.8,1.1,1.4,image/mosfets/61551.png
