Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
SUD80460E,Enlarge,Single,DPAK (TO-252),N,150,20,,,,,,,,,0.0447,,10.5,2.7,3.1,42,65.2,2,7.2,image/mosfets/77104.png
SUD90330E,Enlarge,Single,DPAK (TO-252),N,200,20,,,,,,,,0.0422,0.0375,,21,6,5.3,35.8,125,2,3.8,image/mosfets/65814.png
SUG80050E,Enlarge,Single,TO-247,N,150,20,,,,,,,,0.0063,0.0054,,,33,28,100,500,2,3.1,image/mosfets/63052.png
SUG90090E,Enlarge,Single,TO-247,N,200,20,,,,,,,,0.0104,0.0095,,,23,22.7,100,395,2,3.2,image/mosfets/62189.png
SUM10250E,Enlarge,Single,D2PAK (TO-263),N,250,20,,,,,,,,0.032,0.031,,57.6,15.1,18.4,63.5,375,2,3.1,image/mosfets/65383.png
SUM110P04-05,,Single,D2PAK (TO-263),P,-40,20,,,,,,,,,0.005,,185,48,42,110,375,2,4,image/mosfets/64432.png
SUM110P06-07L,Enlarge,Single,D2PAK (TO-263),P,-60,20,,,,,,0.0088,,,0.0069,,230,50,60,110,375,1,3,image/mosfets/77605.png
SUM110P06-08L,,Single,D2PAK (TO-263),P,-60,20,,,,,,0.0105,,,0.008,,160,40,36,110,272,1,3,image/mosfets/64434.png
SUM110P08-11L,,Single,D2PAK (TO-263),P,-80,20,,,,,,0.0145,,,0.0112,85,180,35,42,110,375,1,3.6,image/mosfets/63039.png
SUM40010EL,Enlarge,Single,D2PAK (TO-263),N,40,20,,,,,,0.0019,,,0.0016,,150,32,11,120,375,1.2,1.6,image/mosfets/79035.png
SUM40012EL,Enlarge,Single,D2PAK (TO-263),N,40,20,,,,,,0.00224,,,0.00167,,130,33.6,6.7,150,150,1,1.8,image/mosfets/75050.png
SUM40014M,Enlarge,Single,D2PAK (TO-263-7L),N,40,20,,,,,,0.00136,,,0.00099,,182,41,9,200,375,1.1,2.4,image/mosfets/75153.png
