Part Number▲▼,Product Image,Package▲▼,Reverse WorkingVoltage(V)▲▼,Capacitance(pF)▲▼,LeakageCurrent(µA)▲▼,Peak Pulse Current8/20 µs (*10/1000 µs)acc. IEC 61000-4-5(A)▲▼,Peak PulsePower 8/20 µsacc. IEC 61000-4-5(W)▲▼,ProtectableLines▲▼,ESD Immunityacc. IEC 61000-4-2(kV)▲▼,Max. OperatingJunction Temperature(°C)▲▼,AEC-Q101Qualified▲▼,Image path
VESD08A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD08C1-02V,Enlarge,SOD-523,8,47,0.1,6.6,100,1,30,150,Yes,image/diodes/esd-protection/86130.png
VESD08C1-HD1,Enlarge,DFN1006-2A,8,47,0.1,6.6,100,1,30,150,Yes,image/diodes/esd-protection/86185.png
VESD12A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD12C1-02V,Enlarge,SOD-523,12,33,0.1,4.4,100,1,30,150,Yes,image/diodes/esd-protection/86130.png
VESD12C1-HD1,Enlarge,DFN1006-2A,12,33,0.1,4.4,100,1,30,150,Yes,image/diodes/esd-protection/86185.png
VESD16A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD16C1-02V,Enlarge,SOD-523,16,27,0.1,3.6,100,1,30,150,Yes,image/diodes/esd-protection/86130.png
VESD16C1-HD1,Enlarge,DFN1006-2A,16,27,0.1,3.6,100,1,30,150,Yes,image/diodes/esd-protection/86185.png
VESD24E1-HD1,Enlarge,DFN1006-2A,24,28,0.05,4,175,1,30,150,Yes,image/diodes/esd-protection/86221.png
VESD26A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD26C1-02V,Enlarge,SOD-523,26,17.5,0.1,2.1,100,1,20,150,Yes,image/diodes/esd-protection/86130.png
VESD26C1-HD1,Enlarge,DFN1006-2A,26,17.5,0.1,2.1,100,1,20,150,Yes,image/diodes/esd-protection/86185.png
VESD33A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD33C1-02V,Enlarge,SOD-523,33,15,0.1,1.6,100,1,15,150,Yes,image/diodes/esd-protection/86130.png
VESD33C1-HD1,Enlarge,DFN1006-2A,33,15,0.1,1.6,100,1,15,150,Yes,image/diodes/esd-protection/86185.png
VETH100A1DD1,Enlarge,DFN1006-2B,24,1.7,0.1,0,0,1,15,150,Yes,image/diodes/esd-protection/86195.png
VETH100A203S,Enlarge,SOT-23,24,1.75,0.1,0,0,2,15,150,Yes,image/diodes/esd-protection/86319.png
VLIN1616-02G,Enlarge,SOD-323,16,18,0.05,6,200,1,± 30,150,Yes,image/diodes/esd-protection/85924.png
VLIN1616-DD1,Enlarge,DFN1006-2B,16,21,0.05,5,160,1,30,150,Yes,image/diodes/esd-protection/86218.png
VLIN1626-02G,Enlarge,SOD-323,16,15.5,0.05,6,200,1,± 30,150,Yes,image/diodes/esd-protection/85902.png
VLIN1626-DD1,Enlarge,DFN1006-2B,16,16,0.05,5,160,1,30,150,Yes,image/diodes/esd-protection/86554.png
VLIN2626-02G,Enlarge,SOD-323,26.5,13.5,0.05,4,200,1,± 30,150,Yes,image/diodes/esd-protection/85915.png
VLIN2626-DD1,Enlarge,DFN1006-2B,26,13.7,0.05,3.9,175,1,30,150,Yes,image/diodes/esd-protection/86555.png
VLIN26A1-03G,Enlarge,SOT-323,26.5,10,0.05,3,150,1,± 30,175,Yes,image/diodes/esd-protection/85895.png
VLIN3333-02G,Enlarge,SOD-323,33,11,0.05,3.5,200,1,± 30,150,Yes,image/diodes/esd-protection/86169.png
VMMBZ16C1DD1,Enlarge,DFN1006-2B,14,14.5,0.01,4,108,1,30,150,Yes,image/diodes/esd-protection/86193.png
VMMBZ16C1HD1,Enlarge,DFN1006-2A,14,29,0.01,4,108,1,30,150,Yes,image/diodes/esd-protection/86194.png
VMMBZ33C1DD1,Enlarge,DFN1006-2B,28,8,0.01,1.7,100,1,15,150,Yes,image/diodes/esd-protection/86193.png
VMMBZ33C1HD1,Enlarge,DFN1006-2A,28,16.1,0.01,1.7,100,1,15,150,Yes,image/diodes/esd-protection/86194.png
