Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
MURS240-M3,Enlarge,400,2,1.20,35,50,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89922.png
MURS260,Enlarge,600,2,1.20,35,50,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88971.png
MURS260-M3,Enlarge,600,2,1.20,35,50,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89922.png
MURS320,Enlarge,200,3,0.71,125,25,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88689.png
MURS320-M3,Enlarge,200,3,0.71,125,25,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/89490.png
MURS340,Enlarge,400,3,1.05,125,50,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88816.png
MURS340S,Enlarge,400,3,1.20,35,50,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/89110.png
MURS340S-M3,Enlarge,400,3,1.20,35,50,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89925.png
MURS360,Enlarge,600,3,1.05,125,50,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88816.png
MURS360S,Enlarge,600,3,1.20,35,50,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/89110.png
MURS360S-M3,Enlarge,600,3,1.20,35,50,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89925.png
MURS460,Enlarge,600,4,1.28,110,50,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/87541.png
SBYV27-100,Enlarge,100,2,0.88,50,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88736.png
SBYV27-150,Enlarge,150,2,0.88,50,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88736.png
SBYV27-200,Enlarge,200,2,0.88,50,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88736.png
SBYV27-50,Enlarge,50,2,0.88,50,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88736.png
SBYV28-100,Enlarge,100,3.5,0.89,90,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88737.png
SBYV28-150,Enlarge,150,3.5,0.89,90,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88737.png
SBYV28-200,Enlarge,200,3.5,0.89,90,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88737.png
SBYV28-50,Enlarge,50,3.5,0.89,90,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88737.png
SF1200,Enlarge,1200,1,3.4 at 1,30,75,175,SOD-57,,No,image/diodes/ultrafast-recovery/86059.png
SF1600,Enlarge,1600,1,3.4 at 1,30,75,175,SOD-57,,No,image/diodes/ultrafast-recovery/86059.png
SF4001,Enlarge,50,1,1 at 1,30,50,175,SOD-57,,No,image/diodes/ultrafast-recovery/86060.png
SF4002,Enlarge,100,1,1 at 1,30,50,175,SOD-57,,No,image/diodes/ultrafast-recovery/86060.png
SF4003,Enlarge,200,1,1 at 1,30,50,175,SOD-57,,No,image/diodes/ultrafast-recovery/86060.png
SF4004,Enlarge,400,1,1 at 1,30,50,175,SOD-57,,No,image/diodes/ultrafast-recovery/86060.png
SF4005,Enlarge,600,1,1.7 at 1,30,75,175,SOD-57,,No,image/diodes/ultrafast-recovery/86060.png
SF4006,Enlarge,800,1,1.7 at 1,30,75,175,SOD-57,,No,image/diodes/ultrafast-recovery/86060.png
SF4007,Enlarge,1000,1,1.7 at 1,30,75,175,SOD-57,,No,image/diodes/ultrafast-recovery/86060.png
SF5400,Enlarge,50,3,1.1 at 3,150,50,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5401,Enlarge,100,3,1.1 at 3,150,50,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5402,Enlarge,200,3,1.1 at 3,150,50,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5403,Enlarge,300,3,1.1 at 3,150,50,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5404,Enlarge,400,3,1.1 at 3,150,50,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5405,Enlarge,500,3,1.7 at 3,150,75,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5406,Enlarge,600,3,1.7 at 3,150,75,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5407,Enlarge,800,3,1.7 at 3,150,75,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
SF5408,Enlarge,1000,3,1.7 at 3,150,75,175,SOD-64,,No,image/diodes/ultrafast-recovery/86061.png
UF1005,Enlarge,600 to 1000,1,1.7,30,75,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/89880.png
UF1006,Enlarge,600 to 1000,1,1.7,30,75,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/89880.png
UF1007,Enlarge,600 to 1000,1,1.7,30,75,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/89880.png
UF4001,Enlarge,50,1,see datasheet,30,50,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88755.png
UF4002,Enlarge,100,1,see datasheet,30,50,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88755.png
UF4003,Enlarge,200,1,see datasheet,30,50,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88755.png
