Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
VS-4EVH01HM3,Enlarge,100,4,0.71,100,16,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96101.png
VS-4EVH02-M3,Enlarge,200,4,0.71,100,16,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96102.png
VS-4EVH02HM3,Enlarge,200,4,0.71,100,16,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/95669.png
VS-4EWH02FN-M3,Enlarge,200,4,0.71,80,23,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93258.png
VS-4EWH02FNHM3,Enlarge,200,4,0.71,80,23,175,DPAK (TO-252AA),Single,Yes,image/diodes/ultrafast-recovery/94766.png
VS-50EPU12L-N3,Enlarge,1200,50,1.95,400,57,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95928.png
VS-50EPU12LHN3,Enlarge,1200,50,1.95,400,57,175,TO-247AD 2L,Single die,Yes,image/diodes/ultrafast-recovery/95684.png
VS-5EAH02-M3,Enlarge,200,5,0.72,102,15,175,DFN3820A,Single,No,image/diodes/ultrafast-recovery/97085.png
VS-5EAH02HM3,Enlarge,200,5,0.72,102,15,175,DFN3820A,Single,Yes,image/diodes/ultrafast-recovery/97071.png
VS-5ECH06-M3,Enlarge,600,5,1.2,110,30,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/94779.png
VS-5ECU06-M3,Enlarge,600,5,0.92,130,45,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/94780.png
VS-5EWH06FN-M3,Enlarge,600,5,1.2,70,18,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93245.png
VS-5EWH06FNHM3,Enlarge,600,5,1.2,70,18,175,DPAK (TO-252AA),Single,Yes,image/diodes/ultrafast-recovery/94817.png
VS-5EWL06FN-M3,Enlarge,600,5,0.85,80,59,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93250.png
VS-5EWX06FN-M3,Enlarge,600,5,1.55,50,14,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93248.png
VS-60APH03-N3,Enlarge,300,60,0.85,450,28,175,TO-247AC 3L,Single,No,image/diodes/ultrafast-recovery/94796.png
VS-60APH03L-N3,Enlarge,300,60,0.85,450,28,175,TO-247AD 3L,Single,No,image/diodes/ultrafast-recovery/96627.png
VS-60APU02-N3,Enlarge,200,60,0.81,800,see datasheet,175,TO-247AC 3L,Single,No,image/diodes/ultrafast-recovery/94021.png
VS-60APU04-N3,Enlarge,400,60,0.87,600,see datasheet,175,TO-247AC 3L,Single,No,image/diodes/ultrafast-recovery/94022.png
VS-60APU04LHN3,Enlarge,400,60,0.87,600,50,175,TO-247AD 3L,Single,Yes,image/diodes/ultrafast-recovery/96846.png
VS-60APU06-N3,Enlarge,600,60,1.11,600,see datasheet,175,TO-247AC 3L,Single,No,image/diodes/ultrafast-recovery/94023.png
VS-60APU06HN3,Enlarge,600,60,1.11,600,see datasheet,175,TO-247AC,Single die,Yes,image/diodes/ultrafast-recovery/93806.png
VS-60CPH03-N3,Enlarge,300,2 x 30,0.92,300,see datasheet,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94500.png
VS-60CPU02-N3,Enlarge,200,2 x 30,0.75,300,30,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94657.png
VS-60CPU03W-N3,Enlarge,300,2 x 30,0.9,300,50,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/95800.png
VS-60CPU04-N3,Enlarge,400,2 x 30,0.92,300,37,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/93189.png
VS-60CPU06-N3,Enlarge,600,2 x 30,1.1,300,27,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94658.png
VS-60EPU02-N3,Enlarge,200,60,0.81,800,see datasheet,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94021.png
VS-60EPU04-N3,Enlarge,400,60,0.87,600,see datasheet,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94022.png
VS-60EPU04LHN3,Enlarge,400,60,0.87,600,50,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96846.png
VS-60EPU06-N3,Enlarge,600,60,1.11,600,see datasheet,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94023.png
VS-60EPU06HN3,Enlarge,600,60,1.11,600,see datasheet,175,TO-247AC modified (2 pins),Single die,Yes,image/diodes/ultrafast-recovery/93806.png
VS-60EPU06L-N3,Enlarge,600,60,1.11,600,see datasheet,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96628.png
VS-6CSH01-M3,Enlarge,100,2 x 3,0.75,150,27,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/95700.png
VS-6CSH01HM3,Enlarge,100,2 x 3,0.75,150,27,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/95701.png
VS-6CSH02-M3,Enlarge,200,2 x 3,0.75,150,27,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/94980.png
VS-6CSH02HM3,Enlarge,200,2 x 3,0.75,150,27,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/94981.png
VS-6CVH01-M3,Enlarge,100,2 x 3,0.75,70,20,175,SlimDPAK (TO-252AE),Common cathode,No,image/diodes/ultrafast-recovery/96091.png
VS-6CVH01HM3,Enlarge,100,2 x 3,0.75,70,20,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/ultrafast-recovery/96089.png
VS-6CVH02-M3,Enlarge,200,2 x 3,0.75,70,20,175,SlimDPAK (TO-252AE),Common cathode,No,image/diodes/ultrafast-recovery/96087.png
VS-6CVH02HM3,Enlarge,200,2 x 3,0.75,70,20,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/ultrafast-recovery/95664.png
VS-6CWH02FN-M3,Enlarge,200,2 x 3,0.9,50,see datasheet,175,DPAK (TO-252AA),Common cathode,No,image/diodes/ultrafast-recovery/93498.png
VS-6CWH02FNHM3,Enlarge,200,2 x 3,0.9,50,see datasheet,175,DPAK (TO-252AA),Common cathode,Yes,image/diodes/ultrafast-recovery/94743.png
VS-6DKH02-M3,Enlarge,200,2 x 3,0.71,147,25,175,FlatPAK 5 x 6,Separated cathode,No,image/diodes/ultrafast-recovery/96082.png
VS-6DKH02HM3,Enlarge,200,2 x 3,0.71,173,25,175,FlatPAK 5 x 6,Separated cathode,Yes,image/diodes/ultrafast-recovery/96086.png
VS-6ESH01-M3,Enlarge,100,6,0.74,150,28,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/95702.png
VS-6ESH01HM3,Enlarge,100,6,0.74,150,28,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/95703.png
VS-6ESH02-M3,Enlarge,200,6,0.74,150,28,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/94982.png
VS-6ESH02HM3,Enlarge,200,6,0.74,150,28,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/94983.png
VS-6ESH06-M3,Enlarge,600,6,1.05,90,33,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/94984.png
VS-6ESH06HM3,Enlarge,600,6,1.05,90,33,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/94985.png
VS-6ESU06-M3,Enlarge,600,6,0.95,120,42,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/94986.png
VS-6ESU06HM3,Enlarge,600,6,0.95,120,42,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/94987.png
VS-6EVH06-M3,Enlarge,600,6,1.26,70,16,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96142.png
VS-6EVH06HM3,Enlarge,600,6,1.26,70,16,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96140.png
VS-6EVL06-M3,Enlarge,600,6,0.98,80,34,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96143.png
VS-6EVL06HM3,Enlarge,600,6,0.98,80,34,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96141.png
VS-6EVX06-M3,Enlarge,600,6,1.26,50,14,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96147.png
VS-6EVX06HM3,Enlarge,600,6,1.26,50,14,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96146.png
VS-6EWH06FN-M3,Enlarge,600,6,1.26,70,18,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93514.png
VS-6EWH06FNHM3,Enlarge,600,6,1.26,70,18,175,DPAK (TO-252AA),Single,Yes,image/diodes/ultrafast-recovery/94740.png
VS-6EWL06FN-M3,Enlarge,600,6,0.87,80,59,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93502.png
VS-6EWX06FN-M3,Enlarge,600,6,1.65,50,14,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93249.png
VS-6EWX06FNHM3,Enlarge,600,6,1.65,50,14,175,DPAK (TO-252AA),Single,Yes,image/diodes/ultrafast-recovery/94745.png
VS-75EPU12L-N3,Enlarge,1200,75,1.95,700,62,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95939.png
VS-75EPU12LHN3,Enlarge,1200,75,1.95,700,62,175,TO-247AD 2L,Single die,Yes,image/diodes/ultrafast-recovery/95685.png
VS-80CPH03-N3,Enlarge,300,2 x 40,0.94,320,34,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/93270.png
VS-80CPU02-N3,Enlarge,200,2 x 40,0.8,330,34,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/93457.png
VS-80EBU02-N4,Enlarge,200,80,0.79,800,see datasheet,175,PowerTab®,Single,Yes,image/diodes/ultrafast-recovery/97204.png
VS-80EBU02HN4,Enlarge,200,80,0.77,800,see datasheet,175,PowerTab®,Single,Yes,image/diodes/ultrafast-recovery/97203.png
VS-80EBU04-N4,Enlarge,400,80,0.92,800,see datasheet,175,PowerTab®,Single,No,image/diodes/ultrafast-recovery/97206.png
VS-80EBU04HN4,Enlarge,400,80,0.92,800,see datasheet,175,PowerTab®,Single,Yes,image/diodes/ultrafast-recovery/97205.png
VS-8CSH01-M3,Enlarge,100,2 x 4,0.72,130,25,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/95704.png
VS-8CSH01HM3,Enlarge,100,2 x 4,0.72,130,25,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/95705.png
VS-8CSH02-M3,Enlarge,200,2 x 4,0.72,130,25,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/94988.png
VS-8CSH02HM3,Enlarge,200,2 x 4,0.72,130,25,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/94989.png
VS-8CVH01-M3,Enlarge,100,2 x 4,0.71,100,16,175,SlimDPAK (TO-252AE),Common cathode,No,image/diodes/ultrafast-recovery/96094.png
VS-8CVH01HM3,Enlarge,100,2 x 4,0.71,100,16,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/ultrafast-recovery/96092.png
VS-8CVH02-M3,Enlarge,200,2 x 4,0.71,100,16,175,SlimDPAK (TO-252AE),Common cathode,No,image/diodes/ultrafast-recovery/96093.png
VS-8CVH02HM3,Enlarge,200,2 x 4,0.71,100,16,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/ultrafast-recovery/95667.png
VS-8CWH02FN-M3,Enlarge,200,2 x 4,0.71,80,23,175,DPAK (TO-252AA),Common cathode,No,image/diodes/ultrafast-recovery/93261.png
VS-8CWH02FNHM3,Enlarge,200,2 x 4,0.95,80,23,175,DPAK (TO-252AA),Common cathode,Yes,image/diodes/ultrafast-recovery/94741.png
VS-8DKH02-M3,Enlarge,200,2 x 4,0.7,173,25,175,FlatPAK 5 x 6,Separated cathode,No,image/diodes/ultrafast-recovery/96090.png
VS-8DKH02HM3,Enlarge,200,2 x 4,0.7,173,25,175,FlatPAK 5 x 6,Separated cathode,Yes,image/diodes/ultrafast-recovery/96088.png
VS-8ESH01-M3,Enlarge,100,8,0.78,150,28,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/96987.png
VS-8ESH01HM3,Enlarge,100,8,0.78,150,28,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/96986.png
VS-8ESH02-M3,Enlarge,200,8,0.78,150,28,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/96978.png
VS-8ESH02HM3,Enlarge,200,8,0.78,150,28,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/96984.png
VS-8ESH06-M3,Enlarge,600,8,1.13,90,33,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/96979.png
VS-8ESH06HM3,Enlarge,600,8,1.13,90,33,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/96983.png
VS-8ESU06-M3,Enlarge,600,8,1.01,120,42,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/96982.png
VS-8ESU06HM3,Enlarge,600,8,1.01,120,42,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/96985.png
VS-8ETH03-1-M3,Enlarge,300,8,0.83,100,35,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96238.png
VS-8ETH03-1HM3,Enlarge,300,8,0.83,100,35,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/96124.png
VS-8ETH03-M3,Enlarge,300,8,0.83,100,see datasheet,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96183.png
VS-8ETH03S-M3,Enlarge,300,8,0.83,100,35,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96238.png
VS-8ETH03SHM3,Enlarge,300,8,0.83,100,35,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/96124.png
VS-8ETH06-1-M3,Enlarge,600,8,1.3,90,18,175,TO-262AA,Common cathode,No,image/diodes/ultrafast-recovery/96387.png
VS-8ETH06-1HM3,Enlarge,600,8,1.3,90,18,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/96045.png
VS-8ETH06-M3,Enlarge,600,8,1.3,90,18,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96177.png
VS-8ETH06FP-N3,Enlarge,600,8,1.3,100,18,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96429.png
VS-8ETH06HN3,Enlarge,600,8,1.3,90,18,175,TO-220AC,Single,Yes,image/diodes/ultrafast-recovery/94768.png
VS-8ETH06S-M3,Enlarge,600,8,1.3,90,18,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96387.png
VS-8ETH06SHM3,Enlarge,600,8,1.3,90,18,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/96045.png
VS-8ETL06-1-M3,Enlarge,600,8,0.81,175,60,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96240.png
VS-8ETL06-M3,Enlarge,600,8,0.81,175,60,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96178.png
VS-8ETL06FP-N3,Enlarge,600,8,0.81,175,60,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96430.png
VS-8ETL06S-M3,Enlarge,600,8,0.81,175,60,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96240.png
VS-8ETL06S2LHM3,Enlarge,600,8,0.81,175,60,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96852.png
VS-8ETL06SHM3,Enlarge,600,8,0.81,175,60,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/96529.png
VS-8ETU04-1-M3,Enlarge,400,8,0.94,100,35,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96388.png
VS-8ETU04-1HM3,Enlarge,400,8,0.94,100,35,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/95841.png
VS-8ETU04-M3,Enlarge,400,8,0.94,100,see datasheet,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96184.png
VS-8ETU04HN3,Enlarge,400,8,0.94,100,see datasheet,175,TO-220AC,Single die,Yes,image/diodes/ultrafast-recovery/95840.png
VS-8ETU04S-M3,Enlarge,400,8,0.94,100,35,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96388.png
VS-8ETU04SHM3,Enlarge,400,8,0.94,100,35,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/95841.png
VS-8ETU12-M3,Enlarge,1200,8,1.95,80,42,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96208.png
VS-8ETU12HN3,Enlarge,1200,8,1.95,80,42,175,TO-220AC,Single die,Yes,image/diodes/ultrafast-recovery/95775.png
VS-8ETX06-1-M3,Enlarge,600,8,1.4,110,15,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96242.png
VS-8ETX06-M3,Enlarge,600,8,1.4,110,15,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96179.png
VS-8ETX06FP-N3,Enlarge,600,8,1.4,110,15,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96431.png
VS-8ETX06S-M3,Enlarge,600,8,1.4,110,15,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96242.png
VS-8EVH06-M3,Enlarge,600,8,1.3,90,16,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96151.png
VS-8EVH06HM3,Enlarge,600,8,1.3,90,16,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96148.png
VS-8EVL06-M3,Enlarge,600,8,0.98,130,34,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96152.png
VS-8EVL06HM3,Enlarge,600,8,0.98,130,34,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96149.png
VS-8EVX06-M3,Enlarge,600,8,1.4,80,14,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96153.png
VS-8EVX06HM3,Enlarge,600,8,1.4,80,14,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96150.png
VS-8EWH02FN-M3,Enlarge,200,8,0.75,140,23,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93259.png
VS-8EWH06FN-M3,Enlarge,600,8,1.3,90,18,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93238.png
VS-8EWH06FNHM3,Enlarge,600,8,1.3,90,18,175,DPAK (TO-252AA),Single,Yes,image/diodes/ultrafast-recovery/94739.png
VS-8EWL06FN-M3,Enlarge,600,8,0.81,140,60,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93240.png
VS-8EWX06FN-M3,Enlarge,600,8,1.4,90,15,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93244.png
VS-A5PH3006L-N3,Enlarge,600,30,1.15,330,25,175,TO-247AD 3L,Single,No,image/diodes/ultrafast-recovery/96895.png
VS-A5PH3006LHN3,Enlarge,600,30,1.15,330,25,175,TO-247AD 3L,Single,Yes,image/diodes/ultrafast-recovery/96897.png
VS-A5PH6006L-N3,Enlarge,600,60,1.2,500,29,175,TO-247AD 3L,Single,No,image/diodes/ultrafast-recovery/96900.png
VS-A5PH6006LHN3,Enlarge,600,60,1.2,500,29,175,TO-247AD 3L,Single,Yes,image/diodes/ultrafast-recovery/96903.png
VS-A5PH7506L-N3,Enlarge,600,75,1.2,650,32,175,TO-247AD 3L,Single,No,image/diodes/ultrafast-recovery/97161.png
VS-A5PH7506LHN3,Enlarge,600,75,1.2,650,32,175,TO-247AD 3L,Single,Yes,image/diodes/ultrafast-recovery/97164.png
VS-A5PX3006L-N3,Enlarge,600,30,1.3,310,22,175,TO-247AD 3L,Single,No,image/diodes/ultrafast-recovery/96901.png
VS-A5PX3006LHN3,Enlarge,600,30,1.3,310,22,175,TO-247AD 3L,Single,Yes,image/diodes/ultrafast-recovery/96904.png
VS-A5PX6006L-N3,Enlarge,600,60,1.4,480,26,175,TO-247AD 3L,Single,No,image/diodes/ultrafast-recovery/96902.png
VS-A5PX6006LHN3,Enlarge,600,60,1.4,480,26,175,TO-247AD 3L,Single,Yes,image/diodes/ultrafast-recovery/96905.png
VS-APH3006-N3,Enlarge,600,30,1.4,220,27,175,TO-247AC 3L,Single,No,image/diodes/ultrafast-recovery/93571.png
VS-APH3006HN3,Enlarge,600,30,2.65,220,27,175,TO-247AC,Single die,Yes,image/diodes/ultrafast-recovery/94867.png
VS-APH3006L-N3,Enlarge,600,30,1.4,240,26,175,TO-247AD 3L,Single die,No,image/diodes/ultrafast-recovery/95945.png
VS-APH3006LHN3,Enlarge,600,30,1.4,240,26,175,TO-247AD 3L,Single die,Yes,image/diodes/ultrafast-recovery/95956.png
VS-APU3006-N3,Enlarge,600,30,1.15,220,30,175,TO-247AC 3L,Single,No,image/diodes/ultrafast-recovery/93570.png
VS-APU3006HN3,Enlarge,600,30,1.15,220,30,175,TO-247AC,Single die,Yes,image/diodes/ultrafast-recovery/94818.png
VS-APU3006L-N3,Enlarge,600,30,1.15,250,30,175,TO-247AD 3L,Single die,No,image/diodes/ultrafast-recovery/96076.png
VS-APU3006LHN3,Enlarge,600,30,1.15,250,30,175,TO-247AD 3L,Single die,Yes,image/diodes/ultrafast-recovery/96077.png
VS-APU6006-N3,Enlarge,600,60,1.05,600,32,175,TO-247AC 3L,Single,No,image/diodes/ultrafast-recovery/94794.png
VS-APU6006LHN3,Enlarge,600,60,1.05,600,32,175,TO-247AD 3L,Single,Yes,image/diodes/ultrafast-recovery/95957.png
VS-AZH3106FP-M3,Enlarge,600,30,1.40,280,22,175,TO-3PF,Common anode,No,image/diodes/ultrafast-recovery/96828.png
VS-C4PH3006L-N3,Enlarge,600,2 x 15,1.28,200,see datasheet,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/95948.png
VS-C4PH3006LHN3,Enlarge,600,2 x 15,1.28,200,see datasheet,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/95953.png
VS-C4PH6006L-N3,Enlarge,600,2 x 30,1.37,240,see datasheet,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/95949.png
VS-C4PH6006LHN3,Enlarge,600,2 x 30,1.37,240,see datasheet,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/95954.png
VS-C4PU3006L-N3,Enlarge,600,2 x 15,1.12,200,see datasheet,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/95934.png
VS-C4PU3006LHN3,Enlarge,600,2 x 15,1.12,200,see datasheet,175,TO-247AD 3L,Single die,Yes,image/diodes/ultrafast-recovery/95937.png
VS-C4PU6006L-N3,Enlarge,600,2 x 30,1.19,240,see datasheet,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/95941.png
VS-C4PU6006LHN3,Enlarge,600,2 x 30,1.19,240,see datasheet,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/95950.png
VS-C4ZU3006FP-M3,Enlarge,600,15,1.08,180,37,175,TO-3PF,Common cathode,No,image/diodes/ultrafast-recovery/96686.png
VS-C4ZU6006FP-M3,Enlarge,600,30,1.20,255,37,175,TO-3PF,Common cathode,No,image/diodes/ultrafast-recovery/96687.png
VS-C5PH3006L-N3,Enlarge,600,15,1.15,200,22,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/97079.png
VS-C5PH3012L-N3,Enlarge,1200,15,1.7,125,37,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/96649.png
VS-C5PH3012LHN3,Enlarge,1200,15,1.7,125,37,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/96746.png
VS-C5PH6006L-N3,Enlarge,600,30,1.15,330,25,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/96966.png
VS-C5PH6006LHN3,Enlarge,600,30,1.15,330,25,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/96952.png
VS-C5PH6012L-N3,Enlarge,1200,30,1.7,240,32,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/96680.png
VS-C5PW3006L-N3,Enlarge,600,15,1.5,175,17,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/97077.png
VS-C5PW6006L-N3,Enlarge,600,30,1.6,280,20,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/97076.png
VS-C5PW6006LHN3,Enlarge,600,30,1.6,280,20,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/96962.png
VS-C5PX3006L-N3,Enlarge,600,15,1.3,185,19,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/97078.png
VS-C5PX3012L-N3,Enlarge,1200,15,2.1,110,29,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/96616.png
VS-C5PX3012LHN3,Enlarge,1200,15,2.1,110,29,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/96745.png
VS-C5PX6006L-N3,Enlarge,600,30,1.3,310,22,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/96967.png
VS-C5PX6006LHN3,Enlarge,600,30,1.3,310,22,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/96953.png
VS-C5PX6012L-N3,Enlarge,1200,30,2.1,190,26,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/96661.png
VS-C5TH3012-M3,Enlarge,1200,15,1.7,125,37,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96613.png
VS-C5TX3012-M3,Enlarge,1200,15,2.1,110,29,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96610.png
VS-C5ZW3006FP-N3,Enlarge,600,2 x 15,1.5,175,17,175,TO-3PF,Common cathode,No,image/diodes/ultrafast-recovery/97103.png
VS-C5ZX3006FP-N3,Enlarge,600,2 x 15,1.3,205,19,175,TO-3PF,Common cathode,No,image/diodes/ultrafast-recovery/96968.png
VS-CPU6006-N3,Enlarge,600,2 x 30,1.75,250,26,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94795.png
VS-CPU6006L-N3,Enlarge,600,2 x 30,1.75,250,26,175,TO-247AD 3L,Common cathode,No,image/diodes/ultrafast-recovery/95946.png
VS-CPU6006LHN3,Enlarge,600,2 x 30,1.75,250,26,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/95951.png
VS-CZH6106FP-M3,Enlarge,600,30,1.40,280,22,175,TO-3PF,Common cathode,No,image/diodes/ultrafast-recovery/96829.png
VS-E4PH3006L-N3,Enlarge,600,30,1.37,240,see datasheet,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95897.png
VS-E4PH3006LHN3,Enlarge,600,30,1.37,240,see datasheet,175,TO-247AD 2L,Single die,Yes,image/diodes/ultrafast-recovery/95942.png
