Series▲▼,Product Image,Package (JEDEC®) Code▲▼,VRRM(V)▲▼,IRat VR(nA at V)▲▼,VFat IF(V at mA)▲▼,trr(ns)▲▼,Circuit Configuration▲▼,AEC-Q101 Qualified▲▼,Image path
GSD2004W-G,Enlarge,SOD-123,300,100 at 240,1 at 100,50,Single,Yes,image/diodes/switching/86389.png
GSD2004WS,Enlarge,SOD-323,300,100 at 240,0.87 at 20,50,Single,Yes,image/diodes/switching/85730.png
GSD2004WS-G,Enlarge,SOD-323,300,100 at 240,0.87 at 20,50,Single,Yes,image/diodes/switching/85415.png
IMBD4148,Enlarge,SOT-23,,100 at 70,1.0 at 10,4,Single,Yes,image/diodes/switching/86390.png
IMBD4148-G,Enlarge,SOT-23,,100 at 70,1.0 at 10,4,Single,Yes,image/diodes/switching/86391.png
IMBD4448,Enlarge,SOT-23,,100 at 70,0.72 at 5,4,Common anode,Yes,image/diodes/switching/86392.png
IMBD4448-G,Enlarge,SOT-23,,100 at 70,0.72 at 5,4,Common anode,Yes,image/diodes/switching/86393.png
"LL4148, LL4448",Enlarge,MiniMELF (SOD-80),100,25 at 20,1 at 50,8,Single,No,image/diodes/switching/85557.png
"LL4148, LL4448",Enlarge,MiniMELF (SOD-80),100,25 at 20,0.720 at 5,8,Single,No,image/diodes/switching/85557.png
LL4148-M,Enlarge,MiniMELF (SOD-80),100,25 at 20,1 at 50,8,Single,No,image/diodes/switching/81162.png
LL4150,Enlarge,MiniMELF (SOD-80),50,100 at 50,0.620 at 1,4,Single,No,image/diodes/switching/85558.png
LL4150-M,Enlarge,MiniMELF (SOD-80),50,100 at 50,0.620 at 1,4,Single,No,image/diodes/switching/85905.png
LL4151,Enlarge,MiniMELF (SOD-80),75,50 at 50,1 at 50,4,Single,No,image/diodes/switching/85559.png
LL4151-M,Enlarge,MiniMELF (SOD-80),75,50 at 50,1 at 50,4,Single,No,image/diodes/switching/85906.png
LL4154,Enlarge,MiniMELF (SOD-80),35,100 at 25,1 at 30,4,Single,No,image/diodes/switching/85560.png
LL4154-M,Enlarge,MiniMELF (SOD-80),35,100 at 25,1 at 30,4,Single,No,image/diodes/switching/85907.png
"LS4148, LS4448",Enlarge,QuadroMELF (SOD-80),100,25 at 20,0.720 at 5,8,Single,No,image/diodes/switching/85561.png
"LS4148, LS4448",Enlarge,QuadroMELF (SOD-80),100,25 at 20,1 at 50,8,Single,No,image/diodes/switching/85561.png
LS4150,Enlarge,QuadroMELF (SOD-80),50,100 at 50,0.620 at 1,4,Single,No,image/diodes/switching/85562.png
