Series▲▼,Product Image,Product Group▲▼,VRmax. / VRRM(V)▲▼,IFmax.(mA)▲▼,VFmax. at IF(mV at mA)▲▼,AEC-Q101 Qualified▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
"LL101A, LL101B, LL101C",Enlarge,Small Signal Schottky Diode,40,30,900 at 15,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85626.png
"LL103A, LL103B, LL103C",Enlarge,Small Signal Schottky Diode,40,200,600 at 200,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85630.png
"LL103A, LL103B, LL103C",Enlarge,Small Signal Schottky Diode,30,200,600 at 200,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85630.png
"LL103A, LL103B, LL103C",Enlarge,Small Signal Schottky Diode,20,200,600 at 200,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85630.png
LL41,Enlarge,Small Signal Schottky Diode,100,100,1000 at 200,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85671.png
"LL42, LL43",Enlarge,Small Signal Schottky Diode,30,200,650 at 200,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85672.png
"LL42, LL43",Enlarge,Small Signal Schottky Diode,30,200,450 at 200,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85672.png
LL46,Enlarge,Small Signal Schottky Diode,100,150,1000 at 250,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/85673.png
"LS101A, LS101B, LS101C",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85628.png
"LS101A, LS101B, LS101C",Enlarge,Small Signal Schottky Diodes,50,30,1000 at 15,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85628.png
"LS101A, LS101B, LS101C",Enlarge,Small Signal Schottky Diodes,40,30,1000 at 15,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85628.png
"LS103A, LS103B, LS103C",Enlarge,Small Signal Schottky Diodes,40,30,600 at 200,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85631.png
"LS103A, LS103B, LS103C",Enlarge,Small Signal Schottky Diodes,30,30,600 at 200,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85631.png
"LS103A, LS103B, LS103C",Enlarge,Small Signal Schottky Diodes,20,30,600 at 200,No,QuadroMELF (SOD-80),Single,image/diodes/ss-schottky/85631.png
"MCL101A, MCL101B, MCL101C",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,No,MicroMELF,Single,image/diodes/ss-schottky/85627.png
"MCL101A, MCL101B, MCL101C",Enlarge,Small Signal Schottky Diodes,50,30,1000 at 15,No,MicroMELF,Single,image/diodes/ss-schottky/85627.png
"MCL101A, MCL101B, MCL101C",Enlarge,Small Signal Schottky Diodes,40,30,1000 at 15,No,MicroMELF,Single,image/diodes/ss-schottky/85627.png
"MCL103A, MCL103B, MCL103C",Enlarge,Small Signal Schottky Diodes,40,200,600 at 200,No,MicroMELF,Single,image/diodes/ss-schottky/85632.png
"MCL103A, MCL103B, MCL103C",Enlarge,Small Signal Schottky Diodes,30,200,600 at 200,No,MicroMELF,Single,image/diodes/ss-schottky/85632.png
"MCL103A, MCL103B, MCL103C",Enlarge,Small Signal Schottky Diodes,20,200,600 at 200,No,MicroMELF,Single,image/diodes/ss-schottky/85632.png
"SD101A, SD101B, SD101C",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,No,DO-35 (DO-204AH),Single,image/diodes/ss-schottky/85629.png
"SD101A, SD101B, SD101C",Enlarge,Small Signal Schottky Diodes,50,30,1000 at 15,No,DO-35 (DO-204AH),Single,image/diodes/ss-schottky/85629.png
"SD101A, SD101B, SD101C",Enlarge,Small Signal Schottky Diodes,40,30,1000 at 15,No,DO-35 (DO-204AH),Single,image/diodes/ss-schottky/85629.png
"SD101AW, SD101BW, SD101CW",Enlarge,Small Signal Schottky Diodes,60,100,1000 at 15,No,SOD-123,Single,image/diodes/ss-schottky/86412.png
"SD101AW, SD101BW, SD101CW",Enlarge,Small Signal Schottky Diodes,50,100,1000 at 15,No,SOD-123,Single,image/diodes/ss-schottky/86412.png
"SD101AW, SD101BW, SD101CW",Enlarge,Small Signal Schottky Diodes,40,100,1000 at 15,No,SOD-123,Single,image/diodes/ss-schottky/86412.png
"SD101AW-G, SD101BW-G, SD101CW-G",Enlarge,Small Signal Schottky Diodes,60,100,1000 at 15,No,SOD-123,Single,image/diodes/ss-schottky/86413.png
"SD101AW-G, SD101BW-G, SD101CW-G",Enlarge,Small Signal Schottky Diodes,50,100,1000 at 15,No,SOD-123,Single,image/diodes/ss-schottky/86413.png
"SD101AW-G, SD101BW-G, SD101CW-G",Enlarge,Small Signal Schottky Diodes,40,100,1000 at 15,No,SOD-123,Single,image/diodes/ss-schottky/86413.png
"SD101AWS, SD101BWS, SD101CWS",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,Yes,SOD-323,Single,image/diodes/ss-schottky/85680.png
"SD101AWS, SD101BWS, SD101CWS",Enlarge,Small Signal Schottky Diodes,50,30,1000 at 15,Yes,SOD-323,Single,image/diodes/ss-schottky/85680.png
"SD101AWS, SD101BWS, SD101CWS",Enlarge,Small Signal Schottky Diodes,40,30,1000 at 15,Yes,SOD-323,Single,image/diodes/ss-schottky/85680.png
"SD101AWS-G, SD101BWS-G, SD101CWS-G",Enlarge,Small Signal Schottky Diodes,60,30,1000 at 15,Yes,SOD-323,Single,image/diodes/ss-schottky/85162.png
