Part Number▲▼,Product Image,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,Rev. Voltage(V)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
GSIB2020,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2020,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2020N,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2020N,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2020N,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2020N,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2040,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2040,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2040,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2040,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2040N,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2040N,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2040N,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2040N,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2060,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2060,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2060,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2060,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2060N,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2060N,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2060N,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2060N,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2080,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2080,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2080,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2080,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
