Series▲▼,Product Image,Part Number▲▼,VzMin.(V)▲▼,VzMax.(V)▲▼,VzNom.(V)▲▼,Izt(mA)▲▼,Ptot(mW)▲▼,Package (JEDEC®) Code▲▼,VzSpecification▲▼,AEC-Q101Qualified▲▼,Image path
1N5221 to 1N5267,Enlarge,1N5256,2.4,75,30,4.2,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5257,2.4,75,33,3.8,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5258,2.4,75,36,3.4,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5259,2.4,75,39,3.2,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5260,2.4,75,43,3,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5261,2.4,75,47,2.7,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5262,2.4,75,51,2.5,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5263,2.4,75,56,2.2,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5264,2.4,75,60,2.1,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5265,2.4,75,62,2,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5266,2.4,75,68,1.8,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5267,2.4,75,75,1.7,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
AZ23 Series,Enlarge,AZ23C2V2,2.2,75,2.2,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C2V4,2.2,75,2.4,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C2V7,2.2,75,2.7,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
