Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,IRM(mA)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,AEC-Q101Qualified▲▼,Image path
MBRF10xxx-E3,Enlarge,100,10,0.65,150,,150,ITO-220AC,Single,No,image/diodes/schottky/89034.png
MBRF15xxCT,Enlarge,45,2 x 7.5,see datasheet,150,,150,ITO-220AB,Common cathode,Yes,image/diodes/schottky/88670.png
MBRF15xxCT,Enlarge,60,2 x 7.5,see datasheet,150,,150,ITO-220AB,Common cathode,Yes,image/diodes/schottky/88670.png
MBRF16xx,Enlarge,35 to 60,16,see datasheet,150,,150,ITO-220AC,Single,Yes,image/diodes/schottky/88671.png
MBRF20100CT,Enlarge,100,2 x 10,0.65,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89319.png
MBRF2090CT,Enlarge,90,2 x 10,0.65,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89319.png
MBRF20H100CT,Enlarge,100,2 x 10,0.64,250,,175,ITO-220AB,Common cathode,No,image/diodes/schottky/88673.png
MBRF20xxCT,Enlarge,45,2 x 10,see datasheet,150,,150,ITO-220AB,Common cathode,Yes,image/diodes/schottky/88674.png
MBRF20xxCT,Enlarge,60,2 x 10,see datasheet,150,,150,ITO-220AB,Common cathode,Yes,image/diodes/schottky/88674.png
MBRF20xxxCT-E3,Enlarge,90,2 x 10,0.65,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89033.png
MBRF20xxxCT-E3,Enlarge,100,2 x 10,0.65,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89033.png
MBRF2560CT,Enlarge,60,2 x 12.5,see datasheet,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/87593.png
MBRF25xxCT,Enlarge,35,2 x 12.5,see datasheet,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/88675.png
MBRF25xxCT,Enlarge,45,2 x 12.5,see datasheet,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/88675.png
MBRF30H100CT,Enlarge,100,2 x 15,0.67,275,,175,ITO-220AB,Common cathode,No,image/diodes/schottky/88791.png
MBRF30H45CT,Enlarge,45,2 x 15,0.56,150,,175,ITO-220AB,Common cathode,Yes,image/diodes/schottky/87634.png
MBRF745,Enlarge,45,7.5,see datasheet,150,,150,ITO-220AC,Single,No,image/diodes/schottky/88680.png
MF10H100,Enlarge,100,10,0.64,250,,175,D2PAK (TO-263AB),Single,Yes,image/diodes/schottky/87727.png
MF10H100CT,Enlarge,100,2 x 5,0.61,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/87728.png
MF20H100CT,Enlarge,100,2 x 10,0.64,250,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/87736.png
MF30H100CT,Enlarge,100,2 x 15,0.67,275,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/87737.png
MSS1P2L,Enlarge,20,1,0.35,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89020.png
MSS1P3,Enlarge,30,1,0.41,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89019.png
MSS1P3L,Enlarge,30,1,0.35,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89020.png
MSS1P4,Enlarge,40,1,0.41,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89019.png
MSS1P5,Enlarge,50,1,0.52,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89018.png
MSS1P6,Enlarge,60,1,0.52,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89018.png
MSS2P2,Enlarge,20,2,0.47,30,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89054.png
MSS2P3,Enlarge,30,2,0.47,30,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/89054.png
SB110,Enlarge,10,1,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88715.png
SB120,Enlarge,20,1,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88715.png
SB130,Enlarge,30,1,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88715.png
SB140,Enlarge,40,1,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88715.png
SB150,Enlarge,50,1,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88715.png
SB160,Enlarge,60,1,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88715.png
SB1H100,Enlarge,100,1,0.62,50,,175,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88716.png
SB1H90,Enlarge,90,1,0.62,50,,175,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88716.png
SB220,Enlarge,20,2,see datasheet,60,,see datasheet,DO-15 (DO-204AC),Single,No,image/diodes/schottky/88717.png
SB220S,Enlarge,20,2,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88951.png
SB230,Enlarge,30,2,see datasheet,60,,see datasheet,DO-15 (DO-204AC),Single,No,image/diodes/schottky/88717.png
SB230S,Enlarge,30,2,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88951.png
SB240,Enlarge,40,2,see datasheet,60,,see datasheet,DO-15 (DO-204AC),Single,No,image/diodes/schottky/88717.png
SB240S,Enlarge,40,2,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88951.png
SB250,Enlarge,50,2,see datasheet,60,,see datasheet,DO-15 (DO-204AC),Single,No,image/diodes/schottky/88717.png
SB250S,Enlarge,50,2,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88951.png
SB260,Enlarge,60,2,see datasheet,60,,see datasheet,DO-15 (DO-204AC),Single,No,image/diodes/schottky/88717.png
SB260S,Enlarge,60,2,see datasheet,50,,see datasheet,DO-41 (DO-204AL),Single,No,image/diodes/schottky/88951.png
SB2H100,Enlarge,100,2,0.65,75,,175,DO-15 (DO-204AC),Single,No,image/diodes/schottky/88718.png
SB2H90,Enlarge,90,2,0.65,75,,175,DO-15 (DO-204AC),Single,No,image/diodes/schottky/88718.png
SB320,Enlarge,20,3,see datasheet,120,,see datasheet,DO-201AD,Single,No,image/diodes/schottky/88719.png
SB330,Enlarge,30,3,see datasheet,120,,see datasheet,DO-201AD,Single,No,image/diodes/schottky/88719.png
SB340,Enlarge,40,3,see datasheet,120,,see datasheet,DO-201AD,Single,No,image/diodes/schottky/88719.png
SB350,Enlarge,50,3,see datasheet,120,,see datasheet,DO-201AD,Single,No,image/diodes/schottky/88719.png
SB360,Enlarge,60,3,see datasheet,120,,see datasheet,DO-201AD,Single,No,image/diodes/schottky/88719.png
SB3H100,Enlarge,100,3,0.65,100,,175,DO-201AD,Single,No,image/diodes/schottky/88720.png
SB3H90,Enlarge,90,3,0.65,100,,175,DO-201AD,Single,No,image/diodes/schottky/88720.png
SB520,Enlarge,20,5,see datasheet,220,,150,DO-201AD,Single,No,image/diodes/schottky/88721.png
SB520A,Enlarge,20,5,see datasheet,150,,150,DO-201AD,Single,No,image/diodes/schottky/88903.png
SB530,Enlarge,30,5,see datasheet,220,,150,DO-201AD,Single,No,image/diodes/schottky/88721.png
SB530A,Enlarge,30,5,see datasheet,150,,150,DO-201AD,Single,No,image/diodes/schottky/88903.png
SB540,Enlarge,40,5,see datasheet,220,,150,DO-201AD,Single,No,image/diodes/schottky/88721.png
SB540A,Enlarge,40,5,see datasheet,150,,150,DO-201AD,Single,No,image/diodes/schottky/88903.png
SB550,Enlarge,50,5,see datasheet,220,,150,DO-201AD,Single,No,image/diodes/schottky/88721.png
SB550A,Enlarge,50,5,see datasheet,150,,150,DO-201AD,Single,No,image/diodes/schottky/88903.png
SB560,Enlarge,60,5,see datasheet,220,,150,DO-201AD,Single,No,image/diodes/schottky/88721.png
SB560A,Enlarge,60,5,see datasheet,150,,150,DO-201AD,Single,No,image/diodes/schottky/88903.png
SB5H100,Enlarge,100,5,0.70,200,,175,DO-201AD,Single,No,image/diodes/schottky/88722.png
