Series▲▼;Product Image;Type▲▼;Description▲▼;Technology▲▼;Resistance (min)(Ω)▲▼;Resistance (max)(Ω)▲▼;TCR Absolute(ppm/°C)▲▼;TCR Tracking(ppm/°C)▲▼;Absolute Tolerance(%)▲▼;Ratio Tolerance(%)▲▼;Power(W)▲▼;Package Type▲▼;Case (EIA & Mil)▲▼;Image path
CSC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Single-In-Line, Conformal Coated SIP;Thick Film;1;2.2 M;250;50;1;n/a;0.20;SIP;n/a;image/networks-and-arrays/31509.png
CSC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Single-In-Line, Conformal Coated SIP;Thick Film;10;50;250;n/a;;n/a;0.25;SIP;n/a;image/networks-and-arrays/31509.png
CSC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Single-In-Line, Conformal Coated SIP;Thick Film;10;50;250;50;1;n/a;0.30;SIP;n/a;image/networks-and-arrays/31509.png
CSC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Single-In-Line, Conformal Coated SIP;Thick Film;10;50;250;n/a;;n/a;0.40;SIP;n/a;image/networks-and-arrays/31509.png
CSD;Enlarge;Resistor Networks;Ceramic Sandwich, Dual-In-Line Thin Film Resistor, Through Hole Network (Custom);Thin Film;100;5 M;10;2;0.1;0.01;0.1;Ceramic sandwich;n/a;image/networks-and-arrays/60046.png
CSO;Enlarge;Resistor Networks;Sandwich, 50 mil Pitch, Dual In-Line Thin Film Resistor, Surface Mount Network;Thin Film;100;1.5 M;25;5;0.05;0.02;0.1;Ceramic sandwich;n/a;image/networks-and-arrays/60011.png
CSOM;Enlarge;Resistor Networks;Sandwich, 25 mil Pitch, Dual In-Line Thin Film Resistor, Surface Mount Network;Thin Film;100;500 K;25;5;0.05;0.02;0.1;Ceramic sandwich;n/a;image/networks-and-arrays/60121.png
CTA;Enlarge;Resistor Networks;Thin Film, Center-Tapped Resistor Divider Network;Thin Film;25;35 K;10;2;0.1;n/a;0.125;n/a;0303;image/networks-and-arrays/61015.png
CTM;Enlarge;Resistor Networks;Thin Film Megohm Center-Tap Chip Resistor Divider Network;Thin Film;200 K;10 M;50;5;0.1;n/a;0.02;n/a;0404;image/networks-and-arrays/61034.png
CTN;Enlarge;Resistor Networks;Nichrome Thin Film, Center Tapped Resistor Divider Network;Thin Film;10;1 M;10;2;0.1;n/a;0.25;n/a;0303;image/networks-and-arrays/61024.png
CTQ;Enlarge;Resistor Networks;Thin Film, Center-Tapped Resistor Divider Network;Thin Film;10;1 M;25;2;0.1;n/a;0.06;n/a;0303;image/networks-and-arrays/61030.png
CTR;Enlarge;Resistor Networks;Thin Film, Center-Tapped Resistor Divider Network;Thin Film;10;1 M;25;2;0.1;n/a;0.25;n/a;0303;image/networks-and-arrays/61020.png
CTR (Low Ohms);Enlarge;Resistor Networks;Thin Film Low Ohmic Value Resistor Divider Network;Thin Film;1;9.9;100;200;1;n/a;0.25;n/a;0303;image/networks-and-arrays/61028.png
CTSP;Enlarge;Resistor Networks;Molded, Commercial, Single In-Line Thin Film Resistor, Through Hole Network (Custom);Thin Film;20;500 K;10;1;0.05;0.025;0.1;SIP;n/a;image/networks-and-arrays/60036.png
CTT;Enlarge;Resistor Networks;Thin Film Center-Tapped Resistor Divider Network;Thin Film;10;35 K;25;2;0.5;n/a;0.125;n/a;0303;image/networks-and-arrays/61016.png
Custom Networks;Enlarge;Resistor Networks;Custom Thick Film Networks, Quadpack, Surface Mount;Thick Film;;;;;;;;;;image/networks-and-arrays/68006.png
Custom Networks;Enlarge;Resistor Networks;Custom Thick Film Resistor Networks, Single-In-Line (Molded or Conformal Coated SIPs) and Dual-In-Line (Molded DIPs);Thick Film;1;50 M;100;n/a;0.5;n/a;0.125;SIP;n/a;image/networks-and-arrays/68009.png
DFM (Military M83401/03);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ030, Flat Pack;Thick Film;see datasheet;see datasheet;100;n/a;1;n/a;0.015;Flatpack;n/a;image/networks-and-arrays/31517.png
DFM (Military M83401/03);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ030, Flat Pack;Thick Film;10;1 M;100;n/a;1;n/a;0.025;Flatpack;n/a;image/networks-and-arrays/31517.png
DFM (Military M83401/03);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ030, Flat Pack;Thick Film;10;1 M;100;n/a;1;n/a;0.050;Flatpack;n/a;image/networks-and-arrays/31517.png
DFN;Enlarge;Resistor Networks;Dual Flat No Lead Molded Precision Thin Film Resistor Surface Mount Network;Thin Film;100;100 K;25;3;0.05;0.025;0.1;Arrays / leadless;n/a;image/networks-and-arrays/60109.png
DFN (Divider);Enlarge;Resistor Networks;Dual Flat No Lead Molded Precision Thin Film Divider, Surface Mount Resistor Network;Thin Film;1 K;100;25;5;0.1;0.05;0.1;Arrays / leadless;n/a;image/networks-and-arrays/60110.png
DFP;Enlarge;Resistor Networks;Thick Film Resistor Networks, Flat Pack;Thick Film;10;1 M;100;50;1;n/a;0.15;Flatpack;n/a;image/networks-and-arrays/31513.png
DFP;Enlarge;Resistor Networks;Thick Film Resistor Networks, Flat Pack;Thick Film;10;1 M;100;50;1;n/a;0.25;Flatpack;n/a;image/networks-and-arrays/31513.png
FP200, FP201, FP202;Enlarge;Resistor Networks;Hermetic Flat Pack Thin Film Resistor, Surface Mount Network;Thin Film;10;1 M;10;5;0.05;0.01;0.1;Hermetic;n/a;image/networks-and-arrays/61073.png
HD;Enlarge;Resistor Networks;Hermetic, Dual-In-Line Thin Film Resistor, Through Hole Network (Custom);Thin Film;50;300 K;10;1;0.02;0.01;0.1;Hermetic;n/a;image/networks-and-arrays/60047.png
HTRN;Enlarge;Resistor Networks;"Molded, 50 mil Pitch, High Temperature (215 &#176;C); Thin Film Surface Mount, Dual-In-Line Resistor NetworkNetwork";Thin Film;1 K;100 K;25;5;0.1;0.05;0.1;SOIC (molded);n/a;image/networks-and-arrays/60111.png
HVPS;Enlarge;Resistor Networks;High Value, High Voltage Precision SIP Thin Film Resistor, Through Hole Network;Thin Film;50 K;5 M;5;;0.01;n/a;0.125;SIP;n/a;image/networks-and-arrays/60091.png
LCC, TLCC;Enlarge;Resistor Networks;Hermetic, 50 mil Pitch, Leadless Thin Film Chip Resistor, Surface Mount Network;Thin Film;10;250 K;25;5;0.1;n/a;0.05;Hermetic;n/a;image/networks-and-arrays/60012.png
M83401, C83401;Enlarge;Resistor Networks;Thin Film Resistor Network Military, MIL-PRF-83401 Qualified, Type RZ070, RZ080, RZ090, RZ220, RZ221, RZ223, Single-In-Line SIP;Thin Film;100;200 K;25;5;0.1;0.1;0.00006;SIP;n/a;image/networks-and-arrays/60116.png
MDM (Military M83401/01 and /02);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ010 and RZ020 Dual-In-Line, Molded DIP;Thick Film;see datasheet;see datasheet;100;n/a;1;n/a;0.05;n/a;n/a;image/networks-and-arrays/31516.png
MDM (Military M83401/01 and /02);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ010 and RZ020 Dual-In-Line, Molded DIP;Thick Film;10;1 M;100;n/a;1;n/a;0.10;n/a;n/a;image/networks-and-arrays/31516.png
MDM (Military M83401/01 and /02);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ010 and RZ020 Dual-In-Line, Molded DIP;Thick Film;10;1 M;100;n/a;1;n/a;0.20;n/a;n/a;image/networks-and-arrays/31516.png
MDP 01, 03, 05;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Molded DIP;Thick Film;10;2.2 M;100;50;1;n/a;0.125;n/a;n/a;image/networks-and-arrays/31511.png
MDP 01, 03, 05;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Molded DIP;Thick Film;10;2.2 M;100;50;1;n/a;0.250;n/a;n/a;image/networks-and-arrays/31511.png
MDP 45, 46;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Molded DIP;Thick Film;180;820;100;150;2;n/a;0.125;n/a;n/a;image/networks-and-arrays/31512.png
MORN;Enlarge;Resistor Networks;"Molded, Compact, 0.65 mm Pitch, Dual-In-Line Thin Film Resistor, Surface Mount Network 0.01 % Ratio Tolerance and 1 ppm/&#176;C TCR Tracking";Thin Film;400;100 K;25;1;0.05;0.01;0.05;SOIC;n/a;image/networks-and-arrays/60129.png
MP;Enlarge;Resistor Networks;Molded, SC-70 Thin Film Resistor, Surface Mount Network;Thin Film;100;50 K;25;2;0.1;0.05;0.075;SC-70;n/a;image/networks-and-arrays/60092.png
MPD, MPDA;Enlarge;Resistor Networks;Molded, SOT-143 Thin Film Resistor, Surface Mount Network;Thin Film;1 K;100 K;25;2;0.1;0.05;0.1;SOT-143;n/a;image/networks-and-arrays/60016.png
MPH;Enlarge;Resistor Networks;Hermetic, 50 mil Pitch, Leadless Thin Film Chip Resistor, Surface Mount Network;Thin Film;100;100 K;25;1;0.1;0.05;0.25;Hermetic;n/a;image/networks-and-arrays/60013.png
MPM (Divider);Enlarge;Resistor Networks;Molded, SOT-23 Thin Film Resistor, Surface Mount Divider Network;Thin Film;250;100 K;25;2;0.05;0.01;0.1;SOT-23;n/a;image/networks-and-arrays/60001.png
MPMA (Divider);Enlarge;Resistor Networks;Matched Pair, Molded, Automotive, Thin Film, SOT-23, Resistor, Surface Mount Network, AEC-Q200 Qualified;Thin Film;250;50 K;25;2;0.1;0.05;0.1;SOT-23;n/a;image/networks-and-arrays/60113.png
MR;Enlarge;Resistor Networks;Resistor Networks Metal Film Technology;Thin Film;0.1;10 M;5;1;0.01;0.1;0.1;n/a;n/a;image/networks-and-arrays/52018.png
MSM (Military M83401/04 to /09);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ040 to RZ090, Single-In-Line, Molded SIP;Thick Film;see datasheet;see datasheet;100;n/a;1;n/a;0.07;SIP;n/a;image/networks-and-arrays/31514.png
MSM (Military M83401/04 to /09);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ040 to RZ090, Single-In-Line, Molded SIP;Thick Film;see datasheet;see datasheet;100;n/a;1;n/a;0.11;SIP;n/a;image/networks-and-arrays/31514.png
MSM (Military M83401/04 to /09);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ040 to RZ090, Single-In-Line, Molded SIP;Thick Film;10;1 M;100;n/a;1;n/a;0.12;SIP;n/a;image/networks-and-arrays/31514.png
MSM (Military M83401/04 to /09);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ040 to RZ090, Single-In-Line, Molded SIP;Thick Film;10;1 M;100;n/a;1;n/a;0.20;SIP;n/a;image/networks-and-arrays/31514.png
MSM Long Lead (Military M83401/24);Enlarge;Resistor Networks;Thick Film Resistor Networks, Military, MIL-PRF-83401 Qualified, Type RZ240, Single-In-Line, Molded SIP;Thick Film;see datasheet;see datasheet;100;n/a;1;n/a;0.07;SIP;n/a;image/networks-and-arrays/31531.png
