Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage (V)▲▼;Form▲▼;Case Size▲▼;Temp Max (°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
196 HVC ENYCAP™;Enlarge;MAL219691224E3;15000000;5.6;Cell;Ø12.0x10.0;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691264E3;15000000;5.6;Cell;14.5x48.0x2.5;+85 °C;1000;"""Button Cell, Connector, Flat, Form F""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691106E3;4000000;8.4;Cell;Ø7.0x15.0;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691254E3;15000000;5.6;Cell;24.0x24.0x2.5;+85 °C;1000;"""SMD, Button Cell, Flat, Four Cells, Form E4""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691126E3;4000000;8.4;Cell;Ø7.0x15.0;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691205E3;15000000;7;Cell;Ø12.0x12.5;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691231E3;15000000;1.4;Cell;Ø12.0x2.5;+85 °C;1000;"""SMD, Button Cell, Flat, One Cell, Form C""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690116E3;90000000;1.4;Cell;35x25x5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Vertical, keyed polarity, Form H""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691225E3;15000000;7;Cell;Ø12.0x12.5;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691201E3;15000000;1.4;Cell;Ø12.0x2.5;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
