Series;Product Image;Type;SMD Size Class;Height;Inductance;DC;Saturation Current;Impedance;DCR MAX.;Operating temperature;Image path;Path to the PDF;Path to the ZIP
IHLP-2525CZ-L7;Enlarge;Power Inductors;;3.0;3.3 µH;6 A;13.5;;0.02821;-55 to +125;image\small_inductors\34254.png;Datasheet\IHLP-2525CZ-L7\IHLP-2525CZ-L7.pdf;None
IHLP-2525CZ-L7;Enlarge;Power Inductors;;3.0;100 nH;32.5 A;60;;0.00135;-55 to +125;image\small_inductors\34254.png;Datasheet\IHLP-2525CZ-L7\IHLP-2525CZ-L7.pdf;None
IHLP-2525CZ-L7;Enlarge;Power Inductors;;3.0;330 nH;20 A;30;;0.0032;-55 to +125;image\small_inductors\34254.png;Datasheet\IHLP-2525CZ-L7\IHLP-2525CZ-L7.pdf;None
IHLP-2525CZ-L7;Enlarge;Power Inductors;;3.0;1 µH;11 A;22;;0.008;-55 to +125;image\small_inductors\34254.png;Datasheet\IHLP-2525CZ-L7\IHLP-2525CZ-L7.pdf;None
IHLP-2525CZ-L7;Enlarge;Power Inductors;;3.0;4.7 µH;5.5 A;10;;0.03711;-55 to +125;image\small_inductors\34254.png;Datasheet\IHLP-2525CZ-L7\IHLP-2525CZ-L7.pdf;None
IHLP-2525CZ-L7;Enlarge;Power Inductors;;3.0;150 nH;26 A;52;;0.00185;-55 to +125;image\small_inductors\34254.png;Datasheet\IHLP-2525CZ-L7\IHLP-2525CZ-L7.pdf;None
IHLP-2525CZ-L7;Enlarge;Power Inductors;;3.0;470 nH;17.5 A;26;;0.00386;-55 to +125;image\small_inductors\34254.png;Datasheet\IHLP-2525CZ-L7\IHLP-2525CZ-L7.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;560 nH;20 A;12;;0.0036;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;10 µH;4.5 A;4.5;;0.0713;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;1.5 µH;12 A;12;;0.009;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;5.6 µH;6 A;7;;0.0344;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;680 nH;18 A;11.5;;0.0045;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;2.2 µH;10 A;10;;0.0136;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;6.8 µH;5.5 A;5.5;;0.0446;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;820 nH;16.5 A;13;;0.0049;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;3.3 µH;8 A;8;;0.0209;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;8.2 µH;5 A;5.0;;0.0507;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;1 µH;13 A;15;;0.0065;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-01;Enlarge;Power Inductors;;5.0;4.7 µH;6.5 A;7;;0.0303;-55 to +125;image\small_inductors\34177.png;Datasheet\IHLP-2525EZ-01\IHLP-2525EZ-01.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;10 µH;4.5 A;4.5;;0.0713;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;1.5 µH;12 A;12;;0.009;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;5.6 µH;6 A;7;;0.0344;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;680 nH;18 A;11.5;;0.0045;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;2.2 µH;10 A;10;;0.0136;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;6.8 µH;5.5 A;5.5;;0.0446;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;820 nH;16.5 A;13;;0.0049;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;3.3 µH;8 A;8;;0.0209;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;8.2 µH;5.5 A;5.5;;0.0456;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;1 µH;13 A;15;;0.0065;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;4.7 µH;6.5 A;7;;0.0303;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-2525EZ-A1;Enlarge;Power Inductors;;5.0;560 nH;20 A;12;;0.0036;-55 to +125;image\small_inductors\34244.png;Datasheet\IHLP-2525EZ-A1\IHLP-2525EZ-A1.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;1 µH;13.7 A;29.0;;0.00835;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;4.7 µH;6.6 A;10.5;;0.0342;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;10 µH;4.7 A;8.2;;0.0712;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;330 nH;25 A;32.0;;0.00257;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;1.5 µH;11 A;24.0;;0.0133;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;5.6 µH;6.3 A;10.0;;0.0372;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;470 nH;21.5 A;35.0;;0.00333;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;2.2 µH;9 A;21.0;;0.0203;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;6.8 µH;5.3 A;9.5;;0.0493;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;3.3 µH;7.2 A;12.0;;0.0274;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;8.2 µH;4.8 A;9.5;;0.0593;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-01;Enlarge;Power Inductors;;3.0;220 nH;32 A;43.0;;0.00171;-55 to +125;image\small_inductors\34320.png;Datasheet\IHLP-3232CZ-01\IHLP-3232CZ-01.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;8.2 µH;5.9 A;4.2;;0.0467;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;680 nH;20 A;15.2;;0.00399;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;33 µH;3.1 A;2.1;;0.177;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;2.2 µH;10.4 A;10.4;;0.0147;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;220 nH;36 A;24.0;;0.00162;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;10 µH;5.3 A;3.8;;0.0551;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;820 nH;18.5 A;15.0;;0.00487;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;4.7 µH;7.6 A;5.4;;0.0286;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;330 nH;27 A;18.0;;0.00238;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;15 µH;4.3 A;3.8;;0.0853;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;1 µH;16 A;14.8;;0.00649;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;6.8 µH;6.5 A;5.0;;0.0378;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;470 nH;24 A;18.0;;0.00272;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;22 µH;3.6 A;2.8;;0.132;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-11;Enlarge;Power Inductors;;3.0;1.5 µH;12.5 A;11.3;;0.00994;-55 to +125;image\small_inductors\34321.png;Datasheet\IHLP-3232CZ-11\IHLP-3232CZ-11.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;8.2 µH;5.9 A;4.2;;0.0467;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;680 nH;20 A;15.2;;0.00399;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;2.2 µH;10.4 A;10.4;;0.0147;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;220 nH;36 A;24.0;;0.00162;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;10 µH;5.3 A;3.8;;0.0551;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;820 nH;18.5 A;15.0;;0.00487;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;4.7 µH;7.6 A;5.4;;0.0286;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;330 nH;27 A;18.0;;0.00238;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;15 µH;4.3 A;3.8;;0.0853;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;1 µH;16 A;14.8;;0.00649;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;6.8 µH;6.5 A;5.0;;0.0378;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;470 nH;24 A;18.0;;0.00272;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;22 µH;3.6 A;2.8;;0.132;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1A;Enlarge;Power Inductors;;3.0;1.5 µH;12.5 A;11.3;;0.00994;-55 to +125;image\small_inductors\34333.png;Datasheet\IHLP-3232CZ-1A\IHLP-3232CZ-1A.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;330 nH;27 A;18.0;;0.00238;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;15 µH;4.3 A;3.8;;0.0853;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;1 µH;16 A;14.8;;0.00649;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;6.8 µH;6.5 A;5.0;;0.0378;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;470 nH;24 A;18.0;;0.00272;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;22 µH;3.6 A;2.8;;0.132;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;1.5 µH;12.5 A;11.3;;0.00994;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;8.2 µH;5.9 A;4.2;;0.0467;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;680 nH;20 A;15.2;;0.00399;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;33 µH;3.1 A;2.1;;0.177;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;2.2 µH;10.4 A;10.4;;0.0147;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;220 nH;36 A;24.0;;0.00162;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;10 µH;5.3 A;3.8;;0.0551;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;820 nH;18.5 A;15.0;;0.00487;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-1L;Enlarge;Power Inductors;;3.0;4.7 µH;7.6 A;5.4;;0.0286;-55 to +125;image\small_inductors\34341.png;Datasheet\IHLP-3232CZ-1L\IHLP-3232CZ-1L.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;3.3 µH;7.2 A;12.0;;0.0274;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;8.2 µH;4.8 A;9.5;;0.0593;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;220 nH;32 A;43.0;;0.00171;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;1.5 µH;11 A;24.0;;0.0133;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;4.7 µH;6.6 A;10.5;;0.0342;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;10 µH;4.7 A;8.2;;0.0712;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;330 nH;25 A;32.0;;0.00257;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;2.2 µH;9 A;21.0;;0.0203;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;5.6 µH;6.3 A;10.0;;0.0372;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;470 nH;21.5 A;35.0;;0.00333;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;6.8 µH;5.3 A;9.5;;0.0493;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-A1;Enlarge;Power Inductors;;3.0;1 µH;13.7 A;29.0;;0.00835;-55 to +125;image\small_inductors\34332.png;Datasheet\IHLP-3232CZ-A1\IHLP-3232CZ-A1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;10 µH;4.7 A;8.2;;0.0712;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;1.5 µH;11 A;24.0;;0.0133;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;5.6 µH;6.3 A;10.0;;0.0372;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;330 nH;25 A;32.0;;0.00257;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;2.2 µH;9 A;21.0;;0.0203;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;6.8 µH;5.3 A;9.5;;0.0493;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;470 nH;21.5 A;35.0;;0.00333;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;3.3 µH;7.2 A;12.0;;0.0274;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;8.2 µH;4.8 A;9.5;;0.0593;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;1 µH;13.7 A;29.0;;0.00835;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;4.7 µH;6.6 A;10.5;;0.0342;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232CZ-L1;Enlarge;Power Inductors;;3.0;220 nH;32 A;43.0;;0.00171;-55 to +125;image\small_inductors\34340.png;Datasheet\IHLP-3232CZ-L1\IHLP-3232CZ-L1.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;5.6 µH;6.8 A;16.7;;0.0355;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;470 nH;25 A;31.5;;0.00262;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;2.2 µH;10.5 A;23.0;;0.0137;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;6.8 µH;5.7 A;15.2;;0.0477;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;680 nH;21 A;24.5;;0.00367;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;3.3 µH;9.2 A;20.0;;0.0177;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;220 nH;30.7 A;45.0;;0.00168;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;8.2 µH;5.5 A;10.0;;0.0508;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;820 nH;19 A;24.2;;0.00442;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;4.7 µH;7.25 A;15.0;;0.032;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;330 nH;29.5 A;36.0;;0.00214;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;10 µH;5.2 A;9.0;;0.0599;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
IHLP-3232DZ-01;Enlarge;Power Inductors;;4.0;1 µH;18 A;24.0;;0.00578;-55 to +125;image\small_inductors\34316.png;Datasheet\IHLP-3232DZ-01\IHLP-3232DZ-01.pdf;None
