Series▲▼,Product Image,IT(AV)(A)▲▼,TC(°C)▲▼,IT(RMS)(A)▲▼,VDRM/VRRM(V)▲▼,ITSMat 50 Hz(A)▲▼,ITSMat 60 Hz(A)▲▼,VTMat ITM(V at A)▲▼,TJ(°C)▲▼,dV/dt(V/µs)▲▼,Package▲▼,Circuit Configuration▲▼,Image path
VS-ST230S...VPbF Series,Enlarge,230,85,360,400,5700,5970,1.55 at 720,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/96113.png
VS-ST230S...VPbF Series,Enlarge,230,85,360,800,5700,5970,1.55 at 720,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/96113.png
VS-ST230S...VPbF Series,Enlarge,230,85,360,1200,5700,5970,1.55 at 720,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/96113.png
VS-ST230SPbF Series,Enlarge,230,85,360,1600,5700,5970,1.55 at 720,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/94399.png
VS-ST230SPbF Series,Enlarge,230,85,360,1400,5700,5970,1.55 at 720,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/94399.png
VS-ST280C Series,Enlarge,500,55,960,600,7850,8220,1.36 at 1050,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94400.png
VS-ST280C Series,Enlarge,500,55,960,400,7850,8220,1.36 at 1050,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94400.png
VS-ST280CH Series,Enlarge,,180,,400,,,1.35 at 1000,-40 to +150,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94401.png
VS-ST280CH Series,Enlarge,,180,,600,,,1.35 at 1000,-40 to +150,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94401.png
VS-ST280S Series,Enlarge,280,85,440,600,7850,8220,1.28 at 880,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/94402.png
VS-ST280S Series,Enlarge,280,85,440,400,7850,8220,1.28 at 880,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/94402.png
VS-ST300C Series,Enlarge,650,55,1290,1800,8000,8380,2.18 at 1635,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94403.png
VS-ST300C Series,Enlarge,650,55,1290,1600,8000,8380,2.18 at 1635,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94403.png
VS-ST300C Series,Enlarge,650,55,1290,1200,8000,8380,2.18 at 1635,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94403.png
VS-ST300C Series,Enlarge,650,55,1290,800,8000,8380,2.18 at 1635,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94403.png
VS-ST300C Series,Enlarge,650,55,1290,400,8000,8380,2.18 at 1635,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94403.png
VS-ST300C Series,Enlarge,650,55,1290,2000,8000,8380,2.18 at 1635,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94403.png
