Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage(V)▲▼;Form▲▼;Case Size▲▼;Temp Max(°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
013 RLC;Enlarge;MAL201350101E3;100;35;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201354689E3;68;10;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201360101E3;100;35;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201334689E3;68;10;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201331689E3;68;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201330101E3;100;35;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201361689E3;68;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201376228E3;2.2;25;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201351689E3;68;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201331339E3;33;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201356228E3;2.2;25;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201351339E3;33;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201336228E3;2.2;25;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201361339E3;33;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201351228E3;2.2;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201363331E3;330;6.3;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201331228E3;2.2;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
021 ASM;Enlarge;MAL202129689E3;68;100;Axial;Ø10x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190511E3;220;63;Axial;Ø10x25;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202129101E3;100;100;Axial;Ø10x30;+85 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
