Part Number▲▼;Product Image;Description▲▼;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Packaging▲▼;Lead Style▲▼;Image path
125LS20JJ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);20000;Y5U;9.53 mm / 0.375 inch;bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS22-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS22BR-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS22QAA-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS22QQ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS30-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);30000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS50-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);50000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
AY2100K29U2JS63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2100K29U2JS6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
